class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89611,0.79328,0.81545,0.36
MI,0.81707,0.56593,0.58664,0.43
STTC,0.87388,0.64278,0.662,0.26
CD,0.85572,0.63866,0.65946,0.38
HYP,0.76332,0.22485,0.36264,0.19
