class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89696,0.80424,0.81003,0.33
MI,0.80933,0.52899,0.592,0.31
STTC,0.8688,0.61884,0.6569,0.25
CD,0.86368,0.66511,0.69278,0.31
HYP,0.76276,0.28649,0.38829,0.18
