class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89571,0.78557,0.81007,0.33
MI,0.81498,0.55827,0.58776,0.37
STTC,0.87326,0.64271,0.65672,0.25
CD,0.85925,0.64935,0.67459,0.4
HYP,0.75857,0.21893,0.36812,0.21
