variant_id,method_mode,rkdlr_mode,rkdlr_gamma,rkdlr_min_weight,AUC_macro,F1_tuned,F1_at_0.5,NORM_AUC,MI_AUC,STTC_AUC,CD_AUC,HYP_AUC,NORM_F1,MI_F1,STTC_F1,CD_F1,HYP_F1,mean_recoverability,mean_r500,mean_r100,best_epoch,seed,notes
F02T01,base,,,,0.84644,0.62544,0.57138,0.90049,0.82173,0.87417,0.86444,0.77135,0.81134,0.59179,0.66369,0.67767,0.38274,,,,0.85037,0,baseline
RKDLR01,rkdlr,gate_full,1.0,0.0,0.84122,0.61724,0.5731,0.89611,0.81707,0.87388,0.85572,0.76332,0.81545,0.58664,0.662,0.65946,0.36264,0.9467,0.95279,0.93756,0.8429,0,RKDLR failed: high recoverability around 0.95 indicates that 50Hz degradation barely changes teacher predictions; recoverability gating provides little useful discrimination.
RKDLR02,rkdlr,gate_full,0.5,0.0,0.84017,0.61815,0.57399,0.89522,0.8138,0.87389,0.85965,0.75829,0.80996,0.58947,0.66552,0.67236,0.35341,0.9726,0.95279,0.93756,0.84387,0,RKDLR failed: high recoverability around 0.95 indicates that 50Hz degradation barely changes teacher predictions; recoverability gating provides little useful discrimination.
RKDLR03,rkdlr,gate_full,2.0,0.0,0.84031,0.628,0.58073,0.89696,0.80933,0.8688,0.86368,0.76276,0.81003,0.592,0.6569,0.69278,0.38829,0.89891,0.95279,0.93756,0.84392,0,RKDLR failed: high recoverability around 0.95 indicates that 50Hz degradation barely changes teacher predictions; recoverability gating provides little useful discrimination.
RKDLR04,rkdlr,gate_full,1.0,0.25,0.84036,0.61945,0.57097,0.89571,0.81498,0.87326,0.85925,0.75857,0.81007,0.58776,0.65672,0.67459,0.36812,0.96002,0.95279,0.93756,0.84427,0,RKDLR failed: high recoverability around 0.95 indicates that 50Hz degradation barely changes teacher predictions; recoverability gating provides little useful discrimination.
RKDLR05,rkdlr,degraded_target,1.0,0.0,0.83273,0.61294,0.55092,0.88709,0.80993,0.86792,0.86188,0.73682,0.80397,0.59617,0.64441,0.68058,0.33956,0.9467,0.95279,0.93756,0.84051,0,RKDLR failed: high recoverability around 0.95 indicates that 50Hz degradation barely changes teacher predictions; recoverability gating provides little useful discrimination.
RKDLR06,rkdlr,mixed_target,1.0,0.0,0.84024,0.62008,0.57249,0.89428,0.81358,0.87497,0.85886,0.75949,0.81177,0.59198,0.66951,0.67284,0.35429,0.9467,0.95279,0.93756,0.84457,0,RKDLR failed: high recoverability around 0.95 indicates that 50Hz degradation barely changes teacher predictions; recoverability gating provides little useful discrimination.
