class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.88709,0.72474,0.80397,0.16
MI,0.80993,0.53109,0.59617,0.37
STTC,0.86792,0.59497,0.64441,0.17
CD,0.86188,0.67692,0.68058,0.52
HYP,0.73682,0.22687,0.33956,0.23
