class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89522,0.78685,0.80996,0.26
MI,0.8138,0.55133,0.58947,0.32
STTC,0.87389,0.64798,0.66552,0.29
CD,0.85965,0.64087,0.67236,0.35
HYP,0.75829,0.24294,0.35341,0.25
