class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89428,0.78991,0.81177,0.29
MI,0.81358,0.54842,0.59198,0.33
STTC,0.87497,0.64674,0.66951,0.27
CD,0.85886,0.65581,0.67284,0.35
HYP,0.75949,0.22157,0.35429,0.23
