epoch,bce,kd,crf,feat,att,label_corr,akd_weight,total,val_auc,val_f1,best_val_auc
1,0.4661,0.33125,0.0,0.0,0.0,0.0,0.4348,0.79735,0.80476,0.45381,0.80476
2,0.38088,0.28966,0.0,0.0,0.0,0.0,0.4351,0.67054,0.82764,0.55005,0.82764
3,0.36812,0.28446,0.0,0.0,0.0,0.0,0.4351,0.65258,0.83115,0.56367,0.83115
4,0.35866,0.28263,0.0,0.0,0.0,0.0,0.4348,0.64129,0.83201,0.52548,0.83201
5,0.34982,0.28002,0.0,0.0,0.0,0.0,0.4348,0.62984,0.82986,0.53303,0.83201
6,0.34208,0.27998,0.0,0.0,0.0,0.0,0.4353,0.62206,0.82997,0.55358,0.83201
7,0.33681,0.27913,0.0,0.0,0.0,0.0,0.4346,0.61594,0.83036,0.54257,0.83201
8,0.33059,0.27881,0.0,0.0,0.0,0.0,0.435,0.6094,0.83829,0.54612,0.83829
9,0.32104,0.27945,0.0,0.0,0.0,0.0,0.4351,0.60049,0.83497,0.55357,0.83829
10,0.32014,0.27968,0.0,0.0,0.0,0.0,0.4351,0.59982,0.83795,0.55797,0.83829
11,0.30885,0.27963,0.0,0.0,0.0,0.0,0.4347,0.58848,0.83299,0.58719,0.83829
12,0.30048,0.28035,0.0,0.0,0.0,0.0,0.4347,0.58083,0.82724,0.53522,0.83829
13,0.28844,0.28217,0.0,0.0,0.0,0.0,0.435,0.57062,0.82076,0.54542,0.83829
14,0.2817,0.28363,0.0,0.0,0.0,0.0,0.4346,0.56533,0.8153,0.4854,0.83829
15,0.26756,0.28472,0.0,0.0,0.0,0.0,0.4347,0.55228,0.81667,0.53334,0.83829
16,0.25054,0.28748,0.0,0.0,0.0,0.0,0.4346,0.53802,0.81902,0.56517,0.83829
17,0.23928,0.29013,0.0,0.0,0.0,0.0,0.4352,0.52941,0.81453,0.56469,0.83829
18,0.21455,0.29331,0.0,0.0,0.0,0.0,0.435,0.50786,0.80978,0.53367,0.83829
19,0.19914,0.2959,0.0,0.0,0.0,0.0,0.4348,0.49505,0.80841,0.53919,0.83829
20,0.16949,0.30079,0.0,0.0,0.0,0.0,0.4345,0.47028,0.80179,0.55005,0.83829
21,0.15474,0.30417,0.0,0.0,0.0,0.0,0.4349,0.45892,0.81235,0.55108,0.83829
22,0.1244,0.30872,0.0,0.0,0.0,0.0,0.4346,0.43312,0.80117,0.52234,0.83829
23,0.10798,0.31163,0.0,0.0,0.0,0.0,0.435,0.41961,0.79942,0.54982,0.83829
24,0.09703,0.31437,0.0,0.0,0.0,0.0,0.4349,0.4114,0.80085,0.56477,0.83829
25,0.08253,0.31605,0.0,0.0,0.0,0.0,0.4348,0.39858,0.80282,0.56835,0.83829
26,0.07247,0.31733,0.0,0.0,0.0,0.0,0.4353,0.38981,0.79936,0.55109,0.83829
