epoch,bce,kd,crf,feat,att,label_corr,akd_weight,total,val_auc,val_f1,best_val_auc
54,0.12626,0.90341,0.0,0.0,0.0,0.0,0.9,1.02967,0.84122,0.58125,0.84236
55,0.12588,0.90332,0.0,0.0,0.0,0.0,0.9,1.02921,0.84125,0.57938,0.84236
56,0.12596,0.90354,0.0,0.0,0.0,0.0,0.9,1.0295,0.84166,0.58073,0.84236
57,0.12603,0.90377,0.0,0.0,0.0,0.0,0.9,1.0298,0.84097,0.57812,0.84236
58,0.1264,0.90299,0.0,0.0,0.0,0.0,0.9,1.0294,0.84225,0.57935,0.84236
59,0.1249,0.90247,0.0,0.0,0.0,0.0,0.9,1.02737,0.84178,0.57633,0.84236
60,0.12593,0.9033,0.0,0.0,0.0,0.0,0.9,1.02922,0.84194,0.57369,0.84236
61,0.12523,0.90302,0.0,0.0,0.0,0.0,0.9,1.02826,0.84217,0.58078,0.84236
62,0.12565,0.90278,0.0,0.0,0.0,0.0,0.9,1.02843,0.84164,0.58154,0.84236
63,0.12499,0.90263,0.0,0.0,0.0,0.0,0.9,1.02762,0.84214,0.58228,0.84236
64,0.12505,0.90234,0.0,0.0,0.0,0.0,0.9,1.02738,0.84162,0.57902,0.84236
65,0.12506,0.90336,0.0,0.0,0.0,0.0,0.9,1.02842,0.84148,0.57727,0.84236
66,0.12523,0.90232,0.0,0.0,0.0,0.0,0.9,1.02755,0.84167,0.58167,0.84236
67,0.12503,0.90278,0.0,0.0,0.0,0.0,0.9,1.02781,0.8414,0.58301,0.84236
68,0.12448,0.90296,0.0,0.0,0.0,0.0,0.9,1.02745,0.84163,0.58183,0.84236
69,0.12471,0.90216,0.0,0.0,0.0,0.0,0.9,1.02687,0.84234,0.58104,0.84236
70,0.12455,0.90236,0.0,0.0,0.0,0.0,0.9,1.02691,0.84214,0.57665,0.84236
71,0.12458,0.9026,0.0,0.0,0.0,0.0,0.9,1.02717,0.84168,0.58358,0.84236
72,0.12432,0.90244,0.0,0.0,0.0,0.0,0.9,1.02676,0.84198,0.58107,0.84236
73,0.1244,0.90256,0.0,0.0,0.0,0.0,0.9,1.02696,0.84159,0.57831,0.84236
74,0.12424,0.9028,0.0,0.0,0.0,0.0,0.9,1.02705,0.84231,0.58299,0.84236
75,0.12469,0.90281,0.0,0.0,0.0,0.0,0.9,1.0275,0.84174,0.57895,0.84236
76,0.1242,0.90229,0.0,0.0,0.0,0.0,0.9,1.0265,0.84176,0.58115,0.84236
77,0.12422,0.90203,0.0,0.0,0.0,0.0,0.9,1.02624,0.842,0.5807,0.84236
78,0.1242,0.90262,0.0,0.0,0.0,0.0,0.9,1.02682,0.84205,0.58093,0.84236
79,0.12391,0.90275,0.0,0.0,0.0,0.0,0.9,1.02666,0.8417,0.58172,0.84236
