epoch,bce,kd_skip,kd_b2,kd_b3,total,val_auc,best_val_auc
1,0.46018,2.40141,1.04849,1.0938,1.79738,0.82136,0.82136
2,0.37873,1.68364,0.41631,0.40666,1.04465,0.83106,0.83106
3,0.36749,1.57257,0.33408,0.31091,0.94,0.83563,0.83563
4,0.36243,1.5236,0.29832,0.28278,0.89959,0.83957,0.83957
5,0.35599,1.48183,0.29035,0.25187,0.86925,0.83867,0.83957
6,0.35089,1.44522,0.26896,0.23889,0.84307,0.83698,0.83957
7,0.34613,1.41358,0.25509,0.22617,0.82136,0.84315,0.84315
8,0.34291,1.38629,0.24142,0.20877,0.80024,0.84325,0.84325
9,0.3381,1.35257,0.23629,0.20878,0.78664,0.84434,0.84434
10,0.33466,1.33356,0.24306,0.20066,0.77886,0.84207,0.84434
11,0.33262,1.32001,0.23268,0.20497,0.77168,0.84695,0.84695
12,0.32797,1.29372,0.22555,0.2048,0.75885,0.84399,0.84695
13,0.32765,1.29179,0.24408,0.21049,0.76783,0.84464,0.84695
14,0.32391,1.26736,0.22346,0.20186,0.74751,0.84193,0.84695
15,0.3203,1.25463,0.23617,0.20734,0.74862,0.84069,0.84695
16,0.31727,1.22968,0.22443,0.20006,0.733,0.84659,0.84695
17,0.31309,1.21388,0.23346,0.20264,0.7303,0.84509,0.84695
18,0.31112,1.19646,0.2328,0.20628,0.72605,0.84357,0.84695
19,0.30641,1.17419,0.22704,0.20356,0.7135,0.84032,0.84695
20,0.30045,1.14107,0.22016,0.19785,0.69587,0.84543,0.84695
21,0.29811,1.12485,0.23298,0.20558,0.69851,0.84573,0.84695
22,0.29214,1.09562,0.22467,0.20943,0.6849,0.83937,0.84695
23,0.29337,1.10712,0.2404,0.20839,0.69431,0.8459,0.84695
24,0.28664,1.06705,0.23831,0.21154,0.67999,0.84494,0.84695
25,0.28208,1.03927,0.23011,0.20921,0.66567,0.84331,0.84695
26,0.27758,1.01119,0.23183,0.21307,0.65778,0.84401,0.84695
27,0.2742,1.00299,0.23608,0.22139,0.65778,0.84631,0.84695
28,0.26906,0.97421,0.24356,0.22626,0.65183,0.84672,0.84695
29,0.26559,0.96086,0.2377,0.22185,0.64158,0.84456,0.84695
