epoch,bce,kd_skip,kd_b2,kd_b3,total,val_auc,best_val_auc
1,0.46789,2.17746,1.2312,1.12025,1.74379,0.81391,0.81391
2,0.3919,1.52211,0.56259,0.45991,1.00423,0.83166,0.83166
3,0.37979,1.40712,0.44967,0.35665,0.88335,0.83819,0.83819
4,0.37225,1.34881,0.40998,0.30757,0.83003,0.83549,0.83819
5,0.3645,1.30509,0.36105,0.27568,0.78154,0.8384,0.8384
6,0.36031,1.27586,0.35021,0.26589,0.76514,0.83677,0.8384
7,0.35538,1.23965,0.32521,0.23944,0.73344,0.84219,0.84219
8,0.35248,1.21953,0.30806,0.22731,0.71535,0.84466,0.84466
9,0.34625,1.17793,0.30708,0.2043,0.69417,0.84542,0.84542
10,0.34382,1.17049,0.28886,0.20907,0.68494,0.84552,0.84552
11,0.33959,1.14585,0.2824,0.20091,0.67166,0.84492,0.84552
12,0.33398,1.11246,0.27847,0.18852,0.65537,0.84551,0.84552
13,0.33272,1.11102,0.27162,0.19475,0.65369,0.84586,0.84586
14,0.32884,1.08161,0.2623,0.18028,0.63616,0.84356,0.84586
15,0.32461,1.0698,0.26104,0.18644,0.63296,0.84662,0.84662
16,0.32131,1.04385,0.25904,0.17901,0.62282,0.8441,0.84662
17,0.31759,1.02991,0.25056,0.17742,0.61317,0.84186,0.84662
18,0.3149,1.02013,0.25901,0.18382,0.61619,0.84394,0.84662
19,0.309,0.98832,0.24198,0.17066,0.59352,0.84312,0.84662
20,0.30335,0.96176,0.23652,0.1655,0.58044,0.84587,0.84662
21,0.30175,0.95374,0.23716,0.17392,0.58211,0.84639,0.84662
22,0.29618,0.92889,0.24336,0.16894,0.5746,0.8415,0.84662
23,0.29768,0.94048,0.23371,0.18271,0.57912,0.84494,0.84662
24,0.29226,0.91889,0.2364,0.17513,0.56934,0.84682,0.84682
25,0.28887,0.89548,0.23238,0.17271,0.56071,0.84516,0.84682
26,0.28388,0.87084,0.22561,0.16916,0.54861,0.84751,0.84751
27,0.28163,0.86841,0.2324,0.17904,0.55362,0.84586,0.84751
28,0.27826,0.8551,0.23107,0.17501,0.54651,0.84516,0.84751
29,0.27438,0.83818,0.23026,0.1739,0.54007,0.84512,0.84751
30,0.27372,0.83054,0.22335,0.16617,0.53205,0.8441,0.84751
31,0.26941,0.8161,0.22042,0.17166,0.52746,0.8462,0.84751
32,0.26685,0.80654,0.22987,0.1746,0.52951,0.84629,0.84751
33,0.26659,0.81055,0.22894,0.18115,0.53219,0.84743,0.84751
34,0.26665,0.81134,0.22585,0.18197,0.53131,0.84822,0.84822
35,0.26139,0.78797,0.22354,0.17451,0.51931,0.84631,0.84822
36,0.26036,0.77752,0.22274,0.17515,0.51716,0.84739,0.84822
37,0.25893,0.77709,0.22106,0.17801,0.51622,0.8486,0.8486
38,0.25662,0.76475,0.21676,0.17464,0.50923,0.84714,0.8486
39,0.25431,0.75803,0.21976,0.17393,0.50727,0.84778,0.8486
40,0.25505,0.77106,0.22522,0.18024,0.51461,0.84849,0.8486
41,0.25473,0.76116,0.22505,0.17997,0.5131,0.8475,0.8486
42,0.254,0.76224,0.22203,0.17919,0.51077,0.84698,0.8486
43,0.25321,0.75587,0.22236,0.18381,0.51158,0.84658,0.8486
44,0.25072,0.74924,0.223,0.17688,0.50559,0.84774,0.8486
45,0.25015,0.75043,0.22259,0.18312,0.50776,0.84862,0.84862
46,0.2491,0.73917,0.21855,0.17502,0.50012,0.84572,0.84862
47,0.24893,0.7454,0.22083,0.18127,0.50441,0.84656,0.84862
48,0.24689,0.73526,0.21877,0.17937,0.49958,0.84858,0.84862
49,0.24482,0.73123,0.21727,0.17827,0.49594,0.84709,0.84862
50,0.24522,0.72423,0.21784,0.1745,0.4942,0.84735,0.84862
51,0.24518,0.73265,0.21791,0.18132,0.4981,0.84768,0.84862
52,0.24324,0.71833,0.21334,0.1731,0.48897,0.84812,0.84862
53,0.24312,0.72187,0.21828,0.17879,0.49399,0.84587,0.84862
54,0.24288,0.72173,0.21356,0.1773,0.49093,0.84672,0.84862
55,0.24247,0.72154,0.21318,0.17584,0.48969,0.84795,0.84862
56,0.24165,0.71087,0.21345,0.17494,0.48751,0.84799,0.84862
57,0.24041,0.70961,0.21372,0.17617,0.48683,0.84783,0.84862
58,0.24094,0.71333,0.20974,0.17542,0.4856,0.8477,0.84862
59,0.24125,0.71453,0.21664,0.1784,0.49047,0.84673,0.84862
60,0.23981,0.71191,0.21151,0.17399,0.48447,0.8476,0.84862
61,0.24106,0.7154,0.21523,0.17746,0.48931,0.84829,0.84862
62,0.23865,0.70628,0.21509,0.17789,0.48612,0.84832,0.84862
63,0.23975,0.71081,0.21123,0.1789,0.48638,0.84797,0.84862
64,0.23898,0.70446,0.20971,0.17361,0.48192,0.84798,0.84862
65,0.23878,0.70479,0.21181,0.17293,0.4824,0.84827,0.84862
66,0.23782,0.70179,0.2102,0.17585,0.48172,0.84817,0.84862
67,0.239,0.70276,0.21803,0.17771,0.48735,0.84741,0.84862
68,0.23896,0.70769,0.20993,0.17615,0.48347,0.84675,0.84862
69,0.23734,0.69958,0.20946,0.17464,0.48014,0.84828,0.84862
70,0.23785,0.70241,0.21381,0.17632,0.48365,0.8485,0.84862
71,0.23739,0.69756,0.21044,0.17357,0.47994,0.8474,0.84862
72,0.23818,0.70412,0.20729,0.17756,0.48178,0.84843,0.84862
73,0.23665,0.69527,0.21512,0.17304,0.48085,0.84664,0.84862
74,0.23774,0.70216,0.20554,0.17734,0.48025,0.84878,0.84878
75,0.23685,0.69945,0.21205,0.17321,0.48016,0.84769,0.84878
76,0.23668,0.69812,0.20596,0.17413,0.47753,0.84751,0.84878
77,0.23751,0.70032,0.20896,0.17751,0.48145,0.8473,0.84878
78,0.23656,0.69621,0.20969,0.17481,0.4792,0.84715,0.84878
79,0.23635,0.69363,0.20857,0.17371,0.47774,0.84777,0.84878
80,0.23602,0.69743,0.21526,0.17705,0.48231,0.84702,0.84878
81,0.23656,0.69594,0.20523,0.17436,0.47696,0.84843,0.84878
82,0.23551,0.69258,0.21266,0.17502,0.47923,0.84749,0.84878
83,0.23664,0.69481,0.20599,0.17346,0.47687,0.8478,0.84878
84,0.2365,0.69379,0.20885,0.17324,0.47783,0.84779,0.84878
85,0.2361,0.69199,0.20734,0.1737,0.47677,0.84773,0.84878
86,0.23548,0.69164,0.20729,0.17632,0.47727,0.84764,0.84878
87,0.23704,0.69505,0.20751,0.17269,0.47763,0.84775,0.84878
88,0.23559,0.69099,0.20778,0.17258,0.47586,0.84762,0.84878
89,0.23533,0.69243,0.21141,0.17223,0.47721,0.84778,0.84878
90,0.2357,0.69109,0.20677,0.17486,0.47655,0.84821,0.84878
91,0.23604,0.69364,0.20696,0.17312,0.47644,0.84805,0.84878
92,0.23509,0.68762,0.21163,0.1724,0.47666,0.84783,0.84878
93,0.23597,0.69366,0.20408,0.17406,0.4755,0.84799,0.84878
94,0.23545,0.6899,0.21038,0.17174,0.4764,0.84775,0.84878
95,0.23563,0.6926,0.20829,0.17552,0.4776,0.84803,0.84878
96,0.23585,0.69171,0.20675,0.17342,0.4761,0.84787,0.84878
97,0.23514,0.6928,0.2073,0.17387,0.47595,0.8478,0.84878
98,0.23541,0.69181,0.20978,0.17374,0.47718,0.84799,0.84878
99,0.23578,0.6902,0.20658,0.17329,0.47574,0.84788,0.84878
100,0.23505,0.69042,0.2101,0.17303,0.4765,0.84783,0.84878
