epoch,bce,kd_skip,kd_b2,kd_b3,total,val_auc,best_val_auc
1,0.46872,2.18052,2.14549,1.13338,2.16226,0.80968,0.80968
2,0.39151,1.5264,1.49561,0.49242,1.43876,0.82846,0.82846
3,0.37338,1.38608,1.35797,0.36337,1.28659,0.83191,0.83191
4,0.36555,1.31996,1.29176,0.32501,1.22509,0.83721,0.83721
5,0.35935,1.27624,1.24895,0.29784,1.18302,0.8304,0.83721
6,0.35378,1.23963,1.21262,0.26603,1.14314,0.83918,0.83918
7,0.34667,1.1986,1.17282,0.25193,1.10767,0.83547,0.83918
8,0.34125,1.15934,1.13093,0.24037,1.07427,0.83566,0.83918
9,0.33964,1.14237,1.11653,0.23809,1.06345,0.8445,0.8445
10,0.33101,1.09095,1.06423,0.22431,1.01995,0.83985,0.8445
11,0.32401,1.05283,1.02508,0.21358,0.98669,0.8398,0.8445
12,0.32037,1.02781,1.00098,0.2261,0.97533,0.84181,0.8445
13,0.3115,0.97091,0.94101,0.21523,0.9289,0.83682,0.8445
14,0.30187,0.92382,0.89529,0.22756,0.89954,0.83326,0.8445
15,0.29396,0.88257,0.85028,0.2371,0.87154,0.84037,0.8445
16,0.28725,0.84098,0.81146,0.24158,0.84522,0.83214,0.8445
17,0.27741,0.79114,0.75971,0.25268,0.8121,0.83625,0.8445
18,0.26961,0.75394,0.72007,0.27368,0.79219,0.83359,0.8445
19,0.26048,0.69792,0.66457,0.27952,0.75511,0.83477,0.8445
20,0.25295,0.6621,0.62654,0.2861,0.72984,0.8401,0.8445
21,0.24651,0.63304,0.5964,0.31319,0.71913,0.83639,0.8445
22,0.24212,0.60056,0.56451,0.31706,0.69889,0.83503,0.8445
23,0.23411,0.56725,0.52983,0.32532,0.67565,0.83487,0.8445
24,0.22705,0.53241,0.49263,0.33208,0.65142,0.83521,0.8445
25,0.22298,0.51632,0.47678,0.34308,0.64355,0.8346,0.8445
26,0.21724,0.49202,0.44941,0.35191,0.62704,0.83928,0.8445
27,0.21291,0.46351,0.42201,0.35306,0.60804,0.83463,0.8445
28,0.20818,0.44822,0.40439,0.35973,0.59686,0.83364,0.8445
29,0.20603,0.42874,0.38663,0.3602,0.58497,0.83461,0.8445
30,0.20472,0.42572,0.38135,0.37116,0.58592,0.83402,0.8445
31,0.20128,0.41881,0.37228,0.37551,0.57967,0.8355,0.8445
32,0.19905,0.39946,0.35466,0.38279,0.57084,0.83637,0.8445
33,0.19573,0.38376,0.33725,0.37369,0.55403,0.83511,0.8445
34,0.19455,0.38227,0.33416,0.38292,0.55546,0.83672,0.8445
35,0.19426,0.37629,0.33089,0.37961,0.55161,0.83564,0.8445
36,0.19188,0.36728,0.31843,0.38759,0.54631,0.83715,0.8445
37,0.19094,0.35928,0.3107,0.38622,0.54048,0.83527,0.8445
38,0.19128,0.36683,0.32133,0.39351,0.54963,0.83479,0.8445
39,0.19009,0.36116,0.31005,0.39581,0.54384,0.83715,0.8445
40,0.18776,0.347,0.29937,0.39136,0.53329,0.83535,0.8445
41,0.18814,0.34518,0.29489,0.39042,0.53105,0.83577,0.8445
42,0.18545,0.33691,0.28991,0.39633,0.52795,0.8372,0.8445
43,0.1853,0.33629,0.28648,0.39482,0.52552,0.83669,0.8445
44,0.18435,0.32418,0.27792,0.39341,0.51886,0.83576,0.8445
45,0.18365,0.31679,0.26821,0.38931,0.51121,0.83805,0.8445
46,0.18253,0.31528,0.26484,0.39402,0.51054,0.83753,0.8445
47,0.18176,0.31539,0.26599,0.39387,0.51023,0.83812,0.8445
48,0.18193,0.31524,0.26562,0.39349,0.51005,0.8373,0.8445
49,0.18147,0.30401,0.25475,0.3979,0.50556,0.83964,0.8445
50,0.18063,0.30379,0.25405,0.40004,0.50535,0.83628,0.8445
51,0.18069,0.30836,0.26112,0.39752,0.50791,0.83809,0.8445
52,0.18167,0.30579,0.25678,0.39891,0.50731,0.8386,0.8445
53,0.17872,0.29742,0.24818,0.40015,0.50021,0.8348,0.8445
54,0.17931,0.29525,0.24305,0.39619,0.49649,0.8381,0.8445
55,0.17856,0.29208,0.24188,0.39728,0.49539,0.83649,0.8445
56,0.17828,0.28907,0.23834,0.39717,0.49317,0.83725,0.8445
57,0.17834,0.28936,0.24019,0.39821,0.49456,0.83861,0.8445
58,0.17745,0.28663,0.23748,0.4005,0.49321,0.83756,0.8445
59,0.17766,0.28415,0.2338,0.39645,0.48969,0.83803,0.8445
60,0.1777,0.28373,0.23336,0.39635,0.48945,0.83664,0.8445
61,0.1765,0.2785,0.22904,0.39678,0.48596,0.83699,0.8445
62,0.17664,0.27797,0.22816,0.39414,0.48447,0.83694,0.8445
63,0.17669,0.27957,0.22826,0.39801,0.48647,0.83759,0.8445
64,0.17645,0.27242,0.22168,0.39594,0.48163,0.83763,0.8445
65,0.1761,0.27722,0.22618,0.39959,0.48541,0.8379,0.8445
66,0.17657,0.27598,0.2261,0.39561,0.48394,0.83908,0.8445
67,0.17625,0.27663,0.22575,0.39671,0.48402,0.83879,0.8445
68,0.17578,0.27493,0.22465,0.39606,0.48259,0.83858,0.8445
69,0.17618,0.27683,0.22726,0.39838,0.4854,0.83896,0.8445
70,0.17585,0.27378,0.22317,0.39648,0.48207,0.83706,0.8445
71,0.17503,0.27065,0.22164,0.39443,0.47932,0.83852,0.8445
72,0.17658,0.27702,0.22527,0.40047,0.48587,0.83783,0.8445
73,0.17545,0.26948,0.21972,0.39553,0.47926,0.83802,0.8445
74,0.17562,0.26867,0.21763,0.39678,0.47897,0.83809,0.8445
75,0.17524,0.26898,0.21856,0.39343,0.47753,0.83757,0.8445
76,0.17534,0.27099,0.22117,0.39974,0.48185,0.83786,0.8445
77,0.17553,0.27036,0.22002,0.39647,0.47999,0.83849,0.8445
78,0.17488,0.2676,0.2173,0.3959,0.47758,0.83851,0.8445
79,0.17552,0.26898,0.2168,0.39647,0.47839,0.8384,0.8445
