epoch,bce,kd_skip,kd_b2,kd_b3,total,val_auc,best_val_auc
75,0.15849,0.26744,0.27422,0.61587,0.56801,0.83872,0.84238
76,0.15851,0.26364,0.26997,0.6156,0.56547,0.83937,0.84238
77,0.15811,0.26275,0.27058,0.61401,0.56449,0.83964,0.84238
78,0.15802,0.26551,0.27114,0.6118,0.5643,0.83915,0.84238
79,0.15783,0.25831,0.26486,0.61465,0.5613,0.83923,0.84238
80,0.15813,0.26187,0.26863,0.60813,0.5612,0.83929,0.84238
81,0.15762,0.25823,0.26467,0.61625,0.56163,0.83893,0.84238
82,0.15744,0.25822,0.26435,0.61439,0.56058,0.8387,0.84238
83,0.15824,0.26316,0.26891,0.60963,0.56229,0.8389,0.84238
84,0.15732,0.26006,0.26557,0.61312,0.56081,0.83898,0.84238
85,0.15767,0.25689,0.26435,0.61356,0.56021,0.83934,0.84238
86,0.15758,0.25914,0.26495,0.61078,0.5597,0.83921,0.84238
87,0.15783,0.25668,0.26246,0.61487,0.5601,0.83898,0.84238
88,0.15754,0.25675,0.26436,0.61169,0.55932,0.83917,0.84238
89,0.15731,0.25877,0.26506,0.61278,0.5602,0.83915,0.84238
90,0.15736,0.25745,0.26378,0.61504,0.56037,0.83881,0.84238
91,0.1574,0.25835,0.26504,0.61177,0.55979,0.83873,0.84238
92,0.15756,0.26154,0.26772,0.61289,0.56211,0.83907,0.84238
93,0.15715,0.2567,0.26302,0.61403,0.55931,0.83903,0.84238
94,0.15722,0.25628,0.26246,0.61204,0.55828,0.83887,0.84238
95,0.15718,0.25477,0.26063,0.61263,0.55744,0.83906,0.84238
96,0.15758,0.25888,0.26537,0.61293,0.56067,0.83894,0.84238
97,0.15762,0.2571,0.26392,0.61139,0.55916,0.83888,0.84238
98,0.15745,0.25818,0.26369,0.61422,0.56025,0.83898,0.84238
99,0.15755,0.25596,0.26211,0.61192,0.55835,0.83909,0.84238
100,0.15703,0.25493,0.26154,0.61221,0.55752,0.83897,0.84238
