model_name,method_name,model_type,lead,hz,losses,seed,macro_auc,macro_f1_0_5,macro_f1_tuned,metrics_json,auc_NORM,auc_MI,auc_STTC,auc_CD,auc_HYP,f1_tuned_NORM,f1_tuned_MI,f1_tuned_STTC,f1_tuned_CD,f1_tuned_HYP,checkpoint,predictions_csv
student_II_50hz_bce_gated_kd_ta_crf_feature_cadap_seed0,II_50hz_bce_gated_kd_ta_crf_feature_cadap,student,II,50,bce_gated_kd_ta_crf_feature_cadap,0,0.82242,0.56503,0.60286,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_gated_kd_ta_crf_feature_cadap_seed0.json,0.88492,0.79026,0.86109,0.84176,0.73408,0.79598,0.55722,0.64556,0.6565,0.35905,dafd_mvkt/outputs/student_II_50hz_bce_gated_kd_ta_crf_feature_cadap_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_gated_kd_ta_crf_feature_cadap_seed0.csv
student_II_50hz_bce_gated_kd_ta_crf_feature_seed0,"II_50hz_bce,gated_kd,ta_crf,feature",student,II,50,"bce,gated_kd,ta_crf,feature",0,0.82242,0.56503,0.60286,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_gated_kd_ta_crf_feature_seed0.json,0.88492,0.79026,0.86109,0.84176,0.73408,0.79598,0.55722,0.64556,0.6565,0.35905,dafd_mvkt/outputs/student_II_50hz_bce_gated_kd_ta_crf_feature_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_gated_kd_ta_crf_feature_seed0.csv
student_II_50hz_bce_gated_kd_ta_crf_seed0,"II_50hz_bce,gated_kd,ta_crf",student,II,50,"bce,gated_kd,ta_crf",0,0.82691,0.54665,0.59728,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_gated_kd_ta_crf_seed0.json,0.88739,0.79201,0.86357,0.84587,0.74572,0.79529,0.57251,0.62979,0.6214,0.36742,dafd_mvkt/outputs/student_II_50hz_bce_gated_kd_ta_crf_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_gated_kd_ta_crf_seed0.csv
student_II_50hz_bce_prog_seed0,II_50hz_bce_prog,student,II,50,bce,0,0.80612,0.50064,0.57403,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_prog_seed0.json,0.86943,0.77281,0.83863,0.80763,0.7421,0.78692,0.53368,0.60392,0.59707,0.34853,dafd_mvkt/outputs/student_II_50hz_bce_prog_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_prog_seed0.csv
student_II_50hz_bce_seed0,II_50hz_bce,student,II,50,bce,0,0.80612,0.50064,0.57403,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_seed0.json,0.86943,0.77281,0.83863,0.80763,0.7421,0.78692,0.53368,0.60392,0.59707,0.34853,dafd_mvkt/outputs/student_II_50hz_bce_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_seed0.csv
student_II_50hz_bce_ta_mkd_feature_seed0,"II_50hz_bce,ta_mkd,feature",student,II,50,"bce,ta_mkd,feature",0,0.8269,0.54677,0.6067,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_ta_mkd_feature_seed0.json,0.88706,0.79509,0.86745,0.84846,0.73643,0.8,0.57571,0.63504,0.65864,0.36409,dafd_mvkt/outputs/student_II_50hz_bce_ta_mkd_feature_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_ta_mkd_feature_seed0.csv
student_II_50hz_bce_ta_mkd_prog_seed0,"II_50hz_bce,ta_mkd_prog",student,II,50,"bce,ta_mkd",0,0.82938,0.54798,0.60445,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_ta_mkd_prog_seed0.json,0.89025,0.79992,0.86809,0.84594,0.74271,0.80376,0.57908,0.64537,0.64783,0.34622,dafd_mvkt/outputs/student_II_50hz_bce_ta_mkd_prog_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_ta_mkd_prog_seed0.csv
student_II_50hz_bce_ta_mkd_seed0,"II_50hz_bce,ta_mkd",student,II,50,"bce,ta_mkd",0,0.82314,0.53293,0.60564,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_ta_mkd_seed0.json,0.88712,0.78942,0.86281,0.84501,0.73132,0.79903,0.5655,0.64725,0.64896,0.36748,dafd_mvkt/outputs/student_II_50hz_bce_ta_mkd_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_ta_mkd_seed0.csv
student_II_50hz_bce_ta_mkd_ta_crf_feature_cadap_seed0,II_50hz_bce_ta_mkd_ta_crf_feature_cadap,student,II,50,bce_ta_mkd_ta_crf_feature_cadap,0,0.82998,0.54548,0.60605,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_ta_mkd_ta_crf_feature_cadap_seed0.json,0.89038,0.79848,0.87044,0.84509,0.74553,0.79776,0.57862,0.63782,0.64388,0.37217,dafd_mvkt/outputs/student_II_50hz_bce_ta_mkd_ta_crf_feature_cadap_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_ta_mkd_ta_crf_feature_cadap_seed0.csv
student_II_50hz_bce_ta_mkd_ta_crf_feature_clecg_seed0,"II_50hz_bce,ta_mkd,ta_crf,feature_clecg",student,II,50,"bce,ta_mkd,ta_crf,feature",0,0.83179,0.53723,0.60523,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_ta_mkd_ta_crf_feature_clecg_seed0.json,0.89029,0.79888,0.87165,0.84874,0.7494,0.7854,0.56661,0.65998,0.65966,0.3545,dafd_mvkt/outputs/student_II_50hz_bce_ta_mkd_ta_crf_feature_clecg_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_ta_mkd_ta_crf_feature_clecg_seed0.csv
student_II_50hz_bce_ta_mkd_ta_crf_feature_prog_seed0,"II_50hz_bce,ta_mkd,ta_crf,feature_prog",student,II,50,"bce,ta_mkd,ta_crf,feature",0,0.83203,0.55415,0.61062,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_ta_mkd_ta_crf_feature_prog_seed0.json,0.89055,0.80057,0.86743,0.852,0.7496,0.80205,0.57095,0.64127,0.66595,0.37288,dafd_mvkt/outputs/student_II_50hz_bce_ta_mkd_ta_crf_feature_prog_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_ta_mkd_ta_crf_feature_prog_seed0.csv
student_II_50hz_bce_ta_mkd_ta_crf_feature_seed0,"II_50hz_bce,ta_mkd,ta_crf,feature",student,II,50,"bce,ta_mkd,ta_crf,feature",0,0.82998,0.54548,0.60605,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_ta_mkd_ta_crf_feature_seed0.json,0.89038,0.79848,0.87044,0.84509,0.74553,0.79776,0.57862,0.63782,0.64388,0.37217,dafd_mvkt/outputs/student_II_50hz_bce_ta_mkd_ta_crf_feature_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_ta_mkd_ta_crf_feature_seed0.csv
