epoch,fs_sampled,bce,kd,total,val_auc,val_f1,best_val_auc
1,"{50: 40, 100: 44, 500: 50}",0.49385,1.2837,1.77755,0.70958,0.21026,0.70958
2,"{50: 91, 100: 80, 500: 97}",0.42818,0.69615,1.12433,0.77701,0.22115,0.77701
3,"{50: 136, 100: 123, 500: 143}",0.41216,0.54193,0.95409,0.7988,0.37976,0.7988
4,"{50: 184, 100: 172, 500: 180}",0.40347,0.47619,0.87966,0.79282,0.38316,0.7988
5,"{50: 228, 100: 216, 500: 226}",0.39796,0.42591,0.82387,0.80187,0.46469,0.80187
6,"{50: 285, 100: 260, 500: 259}",0.39212,0.38621,0.77833,0.82038,0.44349,0.82038
7,"{50: 325, 100: 313, 500: 300}",0.38694,0.34535,0.73229,0.8022,0.40952,0.82038
8,"{50: 366, 100: 360, 500: 346}",0.38447,0.32518,0.70965,0.81211,0.37424,0.82038
9,"{50: 415, 100: 412, 500: 379}",0.37552,0.28229,0.65781,0.82141,0.46171,0.82141
10,"{50: 461, 100: 450, 500: 429}",0.37561,0.28485,0.66046,0.82872,0.48452,0.82872
11,"{50: 501, 100: 496, 500: 477}",0.37179,0.25762,0.62941,0.82063,0.43987,0.82872
12,"{50: 541, 100: 538, 500: 529}",0.37458,0.28509,0.65966,0.82301,0.47213,0.82872
13,"{50: 584, 100: 582, 500: 576}",0.36828,0.23472,0.603,0.82514,0.46628,0.82872
14,"{50: 636, 100: 629, 500: 611}",0.36727,0.23022,0.5975,0.83309,0.47428,0.83309
15,"{50: 682, 100: 678, 500: 650}",0.36512,0.21811,0.58323,0.83425,0.48547,0.83425
16,"{50: 722, 100: 717, 500: 705}",0.36435,0.21654,0.58089,0.8326,0.48501,0.83425
17,"{50: 764, 100: 774, 500: 740}",0.3637,0.2148,0.5785,0.81438,0.4254,0.83425
18,"{50: 814, 100: 820, 500: 778}",0.36196,0.2095,0.57146,0.82159,0.42959,0.83425
19,"{50: 859, 100: 861, 500: 826}",0.36054,0.20455,0.56509,0.82458,0.46421,0.83425
20,"{50: 904, 100: 905, 500: 871}",0.35945,0.19295,0.5524,0.82505,0.43716,0.83425
21,"{50: 954, 100: 952, 500: 908}",0.35701,0.18883,0.54584,0.83298,0.48218,0.83425
22,"{50: 991, 100: 998, 500: 959}",0.35774,0.18891,0.54664,0.81813,0.37952,0.83425
23,"{50: 1038, 100: 1036, 500: 1008}",0.35615,0.19113,0.54727,0.83413,0.49483,0.83425
24,"{50: 1082, 100: 1081, 500: 1053}",0.35699,0.18531,0.54229,0.81051,0.38577,0.83425
25,"{50: 1123, 100: 1126, 500: 1101}",0.35533,0.17963,0.53495,0.83106,0.48974,0.83425
26,"{50: 1168, 100: 1162, 500: 1154}",0.3534,0.17255,0.52595,0.82778,0.46007,0.83425
