epoch,fs_sampled,bce,kd,total,val_auc,val_f1,best_val_auc
1,{50: 34},0.47987,1.13885,1.61871,0.80373,0.48028,0.80373
2,{50: 68},0.41182,0.55122,0.96305,0.82017,0.53483,0.82017
3,{50: 102},0.39274,0.4161,0.80884,0.828,0.55043,0.828
4,{50: 136},0.38242,0.34457,0.72699,0.82407,0.568,0.828
5,{50: 170},0.37541,0.30239,0.6778,0.82615,0.54408,0.828
6,{50: 204},0.36905,0.26798,0.63703,0.83014,0.57846,0.83014
7,{50: 238},0.36294,0.23861,0.60156,0.83501,0.54318,0.83501
8,{50: 272},0.35787,0.21922,0.57709,0.83396,0.55666,0.83501
9,{50: 306},0.355,0.21263,0.56763,0.83308,0.57185,0.83501
10,{50: 340},0.35005,0.19451,0.54456,0.83699,0.57426,0.83699
11,{50: 374},0.34977,0.20154,0.55131,0.83572,0.56608,0.83699
12,{50: 408},0.34509,0.18935,0.53444,0.83515,0.55211,0.83699
13,{50: 442},0.344,0.19294,0.53694,0.84054,0.55365,0.84054
14,{50: 476},0.33888,0.17962,0.5185,0.83798,0.54901,0.84054
15,{50: 510},0.33649,0.17738,0.51387,0.84028,0.53132,0.84054
16,{50: 544},0.33207,0.16597,0.49804,0.83911,0.58105,0.84054
17,{50: 578},0.32768,0.16515,0.49283,0.83743,0.57611,0.84054
18,{50: 612},0.32577,0.16196,0.48773,0.8395,0.55506,0.84054
19,{50: 646},0.32154,0.15522,0.47675,0.83949,0.58172,0.84054
20,{50: 680},0.31921,0.1599,0.47911,0.84022,0.58366,0.84054
21,{50: 714},0.31606,0.15269,0.46875,0.83979,0.57021,0.84054
22,{50: 748},0.31301,0.15677,0.46978,0.83988,0.56797,0.84054
23,{50: 782},0.31057,0.151,0.46157,0.8413,0.56671,0.8413
24,{50: 816},0.30645,0.15469,0.46114,0.84125,0.5743,0.8413
25,{50: 850},0.30176,0.14465,0.4464,0.84204,0.57553,0.84204
26,{50: 884},0.29859,0.14689,0.44548,0.84093,0.57451,0.84204
27,{50: 918},0.29626,0.1471,0.44336,0.84042,0.56604,0.84204
28,{50: 952},0.29428,0.14612,0.4404,0.84034,0.56486,0.84204
29,{50: 986},0.29171,0.14273,0.43444,0.84201,0.57201,0.84204
30,{50: 1020},0.28777,0.14314,0.43091,0.84004,0.56896,0.84204
31,{50: 1054},0.28726,0.14339,0.43065,0.83968,0.58139,0.84204
32,{50: 1088},0.28459,0.14386,0.42844,0.84136,0.57781,0.84204
33,{50: 1122},0.28342,0.1508,0.43421,0.84161,0.56841,0.84204
34,{50: 1156},0.28234,0.14194,0.42428,0.84278,0.5835,0.84278
35,{50: 1190},0.2785,0.14106,0.41956,0.84166,0.56522,0.84278
36,{50: 1224},0.27632,0.14248,0.4188,0.84279,0.59039,0.84279
37,{50: 1258},0.27514,0.13897,0.41411,0.84226,0.58021,0.84279
38,{50: 1292},0.27324,0.14095,0.41419,0.8424,0.57395,0.84279
39,{50: 1326},0.27314,0.14645,0.41959,0.84093,0.57287,0.84279
40,{50: 1360},0.26972,0.13724,0.40696,0.84331,0.57251,0.84331
41,{50: 1394},0.26883,0.13995,0.40878,0.84194,0.56447,0.84331
42,{50: 1428},0.26975,0.14198,0.41173,0.84011,0.57894,0.84331
43,{50: 1462},0.27027,0.14131,0.41158,0.8412,0.55658,0.84331
44,{50: 1496},0.26693,0.13724,0.40417,0.84197,0.58597,0.84331
45,{50: 1530},0.26709,0.13909,0.40618,0.84164,0.57336,0.84331
46,{50: 1564},0.26374,0.13611,0.39985,0.84246,0.57428,0.84331
47,{50: 1598},0.26328,0.1406,0.40388,0.84322,0.56845,0.84331
48,{50: 1632},0.26242,0.13545,0.39787,0.84348,0.5744,0.84348
49,{50: 1666},0.26224,0.13897,0.40121,0.84335,0.57304,0.84348
50,{50: 1700},0.26226,0.13794,0.4002,0.84257,0.56892,0.84348
51,{50: 1734},0.26316,0.14014,0.40331,0.84362,0.57333,0.84362
52,{50: 1768},0.26266,0.13885,0.40151,0.84227,0.58335,0.84362
53,{50: 1802},0.26117,0.13888,0.40005,0.84183,0.56661,0.84362
54,{50: 1836},0.26094,0.13975,0.40069,0.8426,0.57467,0.84362
55,{50: 1870},0.26047,0.13982,0.40029,0.84269,0.57471,0.84362
56,{50: 1904},0.25808,0.1352,0.39328,0.84294,0.57642,0.84362
57,{50: 1938},0.25989,0.13987,0.39976,0.84291,0.57519,0.84362
58,{50: 1972},0.25845,0.13571,0.39416,0.8433,0.57441,0.84362
59,{50: 2006},0.25879,0.13683,0.39562,0.84242,0.57218,0.84362
60,{50: 2040},0.25892,0.1358,0.39472,0.84317,0.57778,0.84362
61,{50: 2074},0.25786,0.13666,0.39452,0.84233,0.57229,0.84362
62,{50: 2108},0.25651,0.13342,0.38993,0.84324,0.57871,0.84362
63,{50: 2142},0.25719,0.13222,0.38941,0.84296,0.57313,0.84362
64,{50: 2176},0.25709,0.13296,0.39005,0.84218,0.57265,0.84362
65,{50: 2210},0.257,0.13511,0.39211,0.84279,0.57525,0.84362
66,{50: 2244},0.25625,0.13626,0.39251,0.84281,0.57375,0.84362
67,{50: 2278},0.25672,0.13624,0.39296,0.84157,0.58367,0.84362
68,{50: 2312},0.25755,0.13452,0.39207,0.8434,0.57281,0.84362
69,{50: 2346},0.25547,0.13212,0.3876,0.8431,0.57528,0.84362
70,{50: 2380},0.25546,0.13411,0.38958,0.84324,0.57539,0.84362
71,{50: 2414},0.25506,0.13239,0.38746,0.8435,0.57381,0.84362
72,{50: 2448},0.2554,0.13151,0.38692,0.84317,0.57576,0.84362
73,{50: 2482},0.25435,0.13079,0.38514,0.84317,0.57675,0.84362
74,{50: 2516},0.25465,0.13101,0.38566,0.84336,0.57737,0.84362
75,{50: 2550},0.25407,0.13139,0.38546,0.84281,0.57245,0.84362
76,{50: 2584},0.25486,0.1329,0.38776,0.84285,0.58122,0.84362
77,{50: 2618},0.25456,0.13115,0.38571,0.84256,0.57848,0.84362
78,{50: 2652},0.25463,0.13201,0.38664,0.84321,0.57195,0.84362
79,{50: 2686},0.25413,0.13191,0.38604,0.84305,0.57413,0.84362
80,{50: 2720},0.25376,0.1305,0.38426,0.84314,0.5729,0.84362
81,{50: 2754},0.25374,0.12951,0.38326,0.84367,0.57435,0.84367
82,{50: 2788},0.25398,0.13138,0.38536,0.84309,0.57607,0.84367
83,{50: 2822},0.254,0.13022,0.38421,0.84292,0.57404,0.84367
84,{50: 2856},0.25432,0.13018,0.3845,0.84319,0.5766,0.84367
85,{50: 2890},0.25347,0.13026,0.38373,0.84333,0.57524,0.84367
86,{50: 2924},0.25331,0.1303,0.38361,0.84312,0.57863,0.84367
87,{50: 2958},0.25306,0.1298,0.38286,0.84314,0.57305,0.84367
88,{50: 2992},0.25351,0.13115,0.38466,0.84323,0.57523,0.84367
89,{50: 3026},0.25373,0.1318,0.38552,0.84304,0.57623,0.84367
90,{50: 3060},0.25288,0.12966,0.38254,0.8431,0.57651,0.84367
91,{50: 3094},0.25285,0.12944,0.38228,0.8432,0.57473,0.84367
92,{50: 3128},0.25323,0.12966,0.38289,0.84317,0.57482,0.84367
93,{50: 3162},0.25365,0.13078,0.38444,0.84325,0.57693,0.84367
94,{50: 3196},0.25323,0.12957,0.3828,0.84321,0.57372,0.84367
95,{50: 3230},0.25326,0.12974,0.383,0.84307,0.57658,0.84367
96,{50: 3264},0.25361,0.12927,0.38287,0.84325,0.57383,0.84367
97,{50: 3298},0.25321,0.13018,0.38339,0.84321,0.57522,0.84367
98,{50: 3332},0.25308,0.12861,0.38169,0.84323,0.57715,0.84367
99,{50: 3366},0.25284,0.12865,0.38149,0.84315,0.5741,0.84367
100,{50: 3400},0.25326,0.12908,0.38234,0.8432,0.57546,0.84367
