epoch,fs_sampled,bce,kd,total,val_auc,val_f1,best_val_auc
54,"{50: 1790, 100: 1820, 250: 1826, 500: 1800}",0.3377,0.13148,0.46918,0.79559,0.29813,0.83378
55,"{50: 1827, 100: 1845, 250: 1861, 500: 1837}",0.33777,0.12947,0.46724,0.82746,0.44454,0.83378
56,"{50: 1869, 100: 1878, 250: 1888, 500: 1869}",0.33624,0.12826,0.46451,0.83318,0.47754,0.83378
57,"{50: 1901, 100: 1913, 250: 1930, 500: 1894}",0.33557,0.12621,0.46178,0.8146,0.35552,0.83378
58,"{50: 1933, 100: 1947, 250: 1964, 500: 1928}",0.33627,0.12621,0.46248,0.79245,0.3098,0.83378
59,"{50: 1969, 100: 1981, 250: 1992, 500: 1964}",0.33467,0.12658,0.46125,0.81596,0.42946,0.83378
60,"{50: 2005, 100: 2013, 250: 2021, 500: 2001}",0.33529,0.12626,0.46155,0.8055,0.37472,0.83378
61,"{50: 2042, 100: 2040, 250: 2056, 500: 2036}",0.33331,0.12625,0.45956,0.81782,0.40412,0.83378
62,"{50: 2081, 100: 2070, 250: 2088, 500: 2069}",0.33331,0.12714,0.46044,0.81794,0.41271,0.83378
63,"{50: 2121, 100: 2105, 250: 2114, 500: 2102}",0.33256,0.12376,0.45632,0.81904,0.42549,0.83378
64,"{50: 2150, 100: 2142, 250: 2148, 500: 2136}",0.33203,0.12062,0.45266,0.80573,0.3835,0.83378
65,"{50: 2179, 100: 2175, 250: 2186, 500: 2170}",0.33214,0.12036,0.45251,0.82704,0.45908,0.83378
66,"{50: 2214, 100: 2210, 250: 2217, 500: 2203}",0.33108,0.12189,0.45297,0.80872,0.42045,0.83378
67,"{50: 2246, 100: 2248, 250: 2245, 500: 2239}",0.33047,0.12055,0.45102,0.82422,0.44331,0.83378
68,"{50: 2284, 100: 2286, 250: 2279, 500: 2263}",0.33008,0.11989,0.44997,0.82907,0.45864,0.83378
69,"{50: 2311, 100: 2331, 250: 2310, 500: 2294}",0.33062,0.12037,0.45099,0.78064,0.28616,0.83378
70,"{50: 2344, 100: 2372, 250: 2340, 500: 2324}",0.32873,0.1182,0.44692,0.81991,0.43158,0.83378
71,"{50: 2382, 100: 2399, 250: 2371, 500: 2362}",0.32898,0.11746,0.44644,0.82611,0.44637,0.83378
72,"{50: 2410, 100: 2435, 250: 2397, 500: 2406}",0.32914,0.11536,0.4445,0.8159,0.40132,0.83378
73,"{50: 2440, 100: 2459, 250: 2438, 500: 2445}",0.32925,0.1154,0.44465,0.74754,0.24425,0.83378
74,"{50: 2475, 100: 2498, 250: 2467, 500: 2476}",0.32778,0.11782,0.4456,0.82429,0.45727,0.83378
75,"{50: 2512, 100: 2532, 250: 2501, 500: 2505}",0.32704,0.11655,0.44359,0.83325,0.4942,0.83378
76,"{50: 2548, 100: 2568, 250: 2527, 500: 2541}",0.32696,0.11534,0.44229,0.81685,0.44617,0.83378
77,"{50: 2583, 100: 2592, 250: 2560, 500: 2583}",0.32667,0.11438,0.44105,0.80526,0.32787,0.83378
78,"{50: 2614, 100: 2622, 250: 2594, 500: 2622}",0.3266,0.1145,0.44109,0.76735,0.29278,0.83378
79,"{50: 2643, 100: 2652, 250: 2633, 500: 2658}",0.32611,0.11345,0.43956,0.76452,0.27279,0.83378
80,"{50: 2674, 100: 2686, 250: 2668, 500: 2692}",0.32559,0.11442,0.44001,0.81911,0.45939,0.83378
81,"{50: 2713, 100: 2715, 250: 2706, 500: 2720}",0.32486,0.11337,0.43823,0.81642,0.44518,0.83378
82,"{50: 2742, 100: 2752, 250: 2740, 500: 2754}",0.32489,0.11227,0.43715,0.75176,0.25245,0.83378
83,"{50: 2765, 100: 2795, 250: 2769, 500: 2793}",0.32419,0.1115,0.4357,0.74377,0.241,0.83378
84,"{50: 2798, 100: 2828, 250: 2810, 500: 2820}",0.3246,0.11239,0.43699,0.80703,0.37621,0.83378
85,"{50: 2827, 100: 2869, 250: 2838, 500: 2856}",0.32383,0.11105,0.43488,0.74684,0.2366,0.83378
86,"{50: 2860, 100: 2904, 250: 2871, 500: 2889}",0.32318,0.1112,0.43438,0.79536,0.31504,0.83378
87,"{50: 2902, 100: 2939, 250: 2901, 500: 2916}",0.32291,0.11252,0.43543,0.8068,0.37951,0.83378
88,"{50: 2942, 100: 2976, 250: 2930, 500: 2944}",0.32239,0.11192,0.43431,0.81922,0.41374,0.83378
89,"{50: 2982, 100: 3000, 250: 2967, 500: 2977}",0.32311,0.11199,0.4351,0.79768,0.34365,0.83378
90,"{50: 3020, 100: 3033, 250: 2994, 500: 3013}",0.32196,0.11069,0.43265,0.83454,0.48976,0.83454
91,"{50: 3053, 100: 3067, 250: 3028, 500: 3046}",0.32313,0.1104,0.43353,0.77779,0.26803,0.83454
92,"{50: 3089, 100: 3100, 250: 3063, 500: 3076}",0.32167,0.11017,0.43184,0.81805,0.43536,0.83454
93,"{50: 3121, 100: 3137, 250: 3102, 500: 3102}",0.32251,0.11025,0.43276,0.809,0.40308,0.83454
94,"{50: 3154, 100: 3168, 250: 3139, 500: 3135}",0.32202,0.10978,0.4318,0.81621,0.43223,0.83454
95,"{50: 3196, 100: 3199, 250: 3172, 500: 3163}",0.32169,0.11052,0.43221,0.77176,0.26385,0.83454
96,"{50: 3237, 100: 3231, 250: 3205, 500: 3191}",0.32104,0.11065,0.43169,0.82918,0.46516,0.83454
97,"{50: 3271, 100: 3268, 250: 3236, 500: 3223}",0.32166,0.11012,0.43178,0.79908,0.33424,0.83454
98,"{50: 3301, 100: 3303, 250: 3269, 500: 3259}",0.32216,0.10874,0.4309,0.82632,0.45825,0.83454
99,"{50: 3333, 100: 3333, 250: 3305, 500: 3295}",0.32183,0.10901,0.43084,0.77718,0.2794,0.83454
100,"{50: 3377, 100: 3367, 250: 3337, 500: 3319}",0.32085,0.11101,0.43186,0.83354,0.49426,0.83454
