epoch,fs_sampled,bce,kd,total,val_auc,val_f1,best_val_auc
82,"{50: 2742, 100: 2752, 250: 2740, 500: 2754}",0.3247,0.1175,0.4422,0.78115,0.13457,0.82664
83,"{50: 2765, 100: 2795, 250: 2769, 500: 2793}",0.32531,0.11683,0.44214,0.77975,0.13503,0.82664
84,"{50: 2798, 100: 2828, 250: 2810, 500: 2820}",0.32349,0.11825,0.44174,0.80073,0.19506,0.82664
85,"{50: 2827, 100: 2869, 250: 2838, 500: 2856}",0.32421,0.11772,0.44193,0.7802,0.14172,0.82664
86,"{50: 2860, 100: 2904, 250: 2871, 500: 2889}",0.32331,0.11785,0.44116,0.78612,0.1528,0.82664
87,"{50: 2902, 100: 2939, 250: 2901, 500: 2916}",0.32155,0.11763,0.43918,0.80072,0.19798,0.82664
88,"{50: 2942, 100: 2976, 250: 2930, 500: 2944}",0.32166,0.11855,0.44021,0.80441,0.21672,0.82664
89,"{50: 2982, 100: 3000, 250: 2967, 500: 2977}",0.32265,0.1163,0.43896,0.79826,0.18432,0.82664
90,"{50: 3020, 100: 3033, 250: 2994, 500: 3013}",0.32214,0.1169,0.43904,0.82539,0.4038,0.82664
91,"{50: 3053, 100: 3067, 250: 3028, 500: 3046}",0.32188,0.11592,0.4378,0.7764,0.14302,0.82664
92,"{50: 3089, 100: 3100, 250: 3063, 500: 3076}",0.32215,0.11582,0.43797,0.8094,0.25637,0.82664
93,"{50: 3121, 100: 3137, 250: 3102, 500: 3102}",0.32223,0.11494,0.43717,0.80785,0.26755,0.82664
94,"{50: 3154, 100: 3168, 250: 3139, 500: 3135}",0.32204,0.11538,0.43742,0.81,0.28443,0.82664
95,"{50: 3196, 100: 3199, 250: 3172, 500: 3163}",0.32004,0.11635,0.43639,0.77048,0.13354,0.82664
96,"{50: 3237, 100: 3231, 250: 3205, 500: 3191}",0.32022,0.11603,0.43625,0.81516,0.29984,0.82664
97,"{50: 3271, 100: 3268, 250: 3236, 500: 3223}",0.32099,0.11519,0.43618,0.79225,0.17005,0.82664
98,"{50: 3301, 100: 3303, 250: 3269, 500: 3259}",0.32177,0.11431,0.43608,0.81398,0.28708,0.82664
99,"{50: 3333, 100: 3333, 250: 3305, 500: 3295}",0.32199,0.1154,0.43739,0.76425,0.12764,0.82664
100,"{50: 3377, 100: 3367, 250: 3337, 500: 3319}",0.32003,0.11685,0.43688,0.82746,0.43891,0.82746
