epoch,fs_sampled,bce,kd,total,val_auc,val_f1,best_val_auc
1,"{50: 44, 100: 31, 250: 32, 500: 27}",0.50158,1.34721,1.84879,0.76726,0.40378,0.76726
2,"{50: 78, 100: 63, 250: 69, 500: 58}",0.435,0.75715,1.19215,0.69244,0.25689,0.76726
3,"{50: 115, 100: 91, 250: 99, 500: 97}",0.41761,0.59628,1.01389,0.73868,0.2606,0.76726
4,"{50: 155, 100: 124, 250: 131, 500: 126}",0.40767,0.50761,0.91528,0.78172,0.33118,0.78172
5,"{50: 188, 100: 150, 250: 163, 500: 169}",0.39588,0.41825,0.81413,0.77083,0.32098,0.78172
6,"{50: 221, 100: 183, 250: 193, 500: 207}",0.39345,0.40105,0.7945,0.77399,0.32259,0.78172
7,"{50: 252, 100: 221, 250: 230, 500: 235}",0.38637,0.34716,0.73353,0.76514,0.34136,0.78172
8,"{50: 282, 100: 255, 250: 269, 500: 266}",0.38108,0.31396,0.69504,0.76137,0.32429,0.78172
9,"{50: 318, 100: 284, 250: 304, 500: 300}",0.38055,0.31272,0.69327,0.71792,0.23443,0.78172
10,"{50: 355, 100: 318, 250: 331, 500: 336}",0.37816,0.28774,0.6659,0.75979,0.3001,0.78172
11,"{50: 386, 100: 354, 250: 361, 500: 373}",0.3766,0.2815,0.65811,0.81181,0.4475,0.81181
12,"{50: 418, 100: 386, 250: 394, 500: 410}",0.37253,0.25999,0.63252,0.77259,0.34212,0.81181
13,"{50: 447, 100: 422, 250: 419, 500: 454}",0.37285,0.26394,0.63679,0.79431,0.39586,0.81181
14,"{50: 485, 100: 452, 250: 458, 500: 481}",0.37092,0.24861,0.61953,0.79669,0.35493,0.81181
15,"{50: 510, 100: 494, 250: 491, 500: 515}",0.36776,0.23426,0.60202,0.7517,0.2344,0.81181
16,"{50: 548, 100: 526, 250: 520, 500: 550}",0.37128,0.25913,0.63041,0.77509,0.26628,0.81181
17,"{50: 580, 100: 558, 250: 557, 500: 583}",0.36766,0.23119,0.59885,0.82355,0.45903,0.82355
18,"{50: 605, 100: 607, 250: 584, 500: 616}",0.36639,0.22401,0.5904,0.71943,0.14482,0.82355
19,"{50: 638, 100: 645, 250: 616, 500: 647}",0.3644,0.22367,0.58807,0.78867,0.29408,0.82355
20,"{50: 670, 100: 676, 250: 652, 500: 682}",0.36513,0.21638,0.58151,0.78476,0.26516,0.82355
21,"{50: 710, 100: 702, 250: 680, 500: 722}",0.36259,0.2078,0.57039,0.8256,0.47061,0.8256
22,"{50: 742, 100: 739, 250: 716, 500: 751}",0.3606,0.20165,0.56225,0.79783,0.35666,0.8256
23,"{50: 769, 100: 768, 250: 753, 500: 792}",0.35947,0.19616,0.55563,0.79145,0.31668,0.8256
24,"{50: 804, 100: 806, 250: 785, 500: 821}",0.36144,0.20121,0.56265,0.80294,0.37189,0.8256
25,"{50: 832, 100: 840, 250: 821, 500: 857}",0.35832,0.18532,0.54365,0.76985,0.21146,0.8256
26,"{50: 870, 100: 876, 250: 851, 500: 887}",0.35625,0.18473,0.54098,0.81079,0.39208,0.8256
27,"{50: 901, 100: 910, 250: 889, 500: 918}",0.35603,0.18302,0.53905,0.78811,0.25178,0.8256
28,"{50: 935, 100: 944, 250: 928, 500: 945}",0.35671,0.18594,0.54265,0.74496,0.15091,0.8256
29,"{50: 973, 100: 967, 250: 971, 500: 975}",0.35627,0.1843,0.54057,0.7976,0.27379,0.8256
30,"{50: 999, 100: 1006, 250: 1010, 500: 1005}",0.35461,0.17662,0.53123,0.79125,0.26308,0.8256
31,"{50: 1033, 100: 1040, 250: 1048, 500: 1033}",0.35323,0.17783,0.53106,0.81375,0.33505,0.8256
32,"{50: 1065, 100: 1075, 250: 1079, 500: 1069}",0.35357,0.17784,0.53141,0.78045,0.14683,0.8256
33,"{50: 1100, 100: 1109, 250: 1112, 500: 1101}",0.35316,0.17652,0.52967,0.80521,0.31656,0.8256
34,"{50: 1132, 100: 1143, 250: 1142, 500: 1139}",0.35101,0.16661,0.51762,0.79717,0.17076,0.8256
35,"{50: 1175, 100: 1171, 250: 1177, 500: 1167}",0.35066,0.17046,0.52113,0.79698,0.22791,0.8256
36,"{50: 1209, 100: 1205, 250: 1211, 500: 1199}",0.35095,0.16402,0.51497,0.81764,0.37148,0.8256
37,"{50: 1234, 100: 1235, 250: 1247, 500: 1242}",0.34943,0.16004,0.50947,0.75588,0.14777,0.8256
38,"{50: 1266, 100: 1268, 250: 1284, 500: 1274}",0.34916,0.15927,0.50843,0.79598,0.23585,0.8256
39,"{50: 1304, 100: 1303, 250: 1311, 500: 1308}",0.34926,0.15857,0.50782,0.81185,0.36171,0.8256
40,"{50: 1342, 100: 1341, 250: 1342, 500: 1335}",0.34782,0.16171,0.50953,0.81504,0.33088,0.8256
41,"{50: 1371, 100: 1376, 250: 1382, 500: 1365}",0.34697,0.15107,0.49805,0.81842,0.38411,0.8256
42,"{50: 1395, 100: 1413, 250: 1418, 500: 1402}",0.34623,0.14887,0.4951,0.79899,0.20799,0.8256
43,"{50: 1434, 100: 1450, 250: 1450, 500: 1428}",0.34665,0.1541,0.50075,0.81353,0.32201,0.8256
44,"{50: 1471, 100: 1483, 250: 1481, 500: 1461}",0.34533,0.15191,0.49723,0.79424,0.16876,0.8256
45,"{50: 1499, 100: 1512, 250: 1528, 500: 1491}",0.34571,0.14612,0.49183,0.81131,0.28651,0.8256
46,"{50: 1535, 100: 1540, 250: 1564, 500: 1525}",0.34434,0.14847,0.49281,0.82664,0.43323,0.82664
47,"{50: 1563, 100: 1584, 250: 1591, 500: 1560}",0.3431,0.14542,0.48852,0.78663,0.16277,0.82664
48,"{50: 1599, 100: 1619, 250: 1621, 500: 1593}",0.34193,0.14232,0.48425,0.78598,0.13653,0.82664
49,"{50: 1629, 100: 1656, 250: 1663, 500: 1618}",0.34142,0.13797,0.47939,0.77993,0.13381,0.82664
50,"{50: 1657, 100: 1690, 250: 1696, 500: 1657}",0.34154,0.13914,0.48068,0.82163,0.35857,0.82664
51,"{50: 1687, 100: 1717, 250: 1735, 500: 1695}",0.34126,0.14157,0.48283,0.77913,0.14848,0.82664
52,"{50: 1724, 100: 1748, 250: 1771, 500: 1725}",0.33919,0.13577,0.47496,0.82009,0.35336,0.82664
53,"{50: 1755, 100: 1786, 250: 1795, 500: 1766}",0.33881,0.13677,0.47558,0.81056,0.32584,0.82664
54,"{50: 1790, 100: 1820, 250: 1826, 500: 1800}",0.3381,0.13542,0.47352,0.78845,0.11738,0.82664
55,"{50: 1827, 100: 1845, 250: 1861, 500: 1837}",0.33938,0.14111,0.48048,0.81973,0.358,0.82664
56,"{50: 1869, 100: 1878, 250: 1888, 500: 1869}",0.33633,0.13586,0.47219,0.82341,0.38798,0.82664
57,"{50: 1901, 100: 1913, 250: 1930, 500: 1894}",0.33816,0.13301,0.47117,0.79314,0.1579,0.82664
58,"{50: 1933, 100: 1947, 250: 1964, 500: 1928}",0.33667,0.13349,0.47016,0.78355,0.11184,0.82664
59,"{50: 1969, 100: 1981, 250: 1992, 500: 1964}",0.3365,0.13366,0.47016,0.81232,0.24957,0.82664
60,"{50: 2005, 100: 2013, 250: 2021, 500: 2001}",0.33491,0.12927,0.46419,0.79952,0.16347,0.82664
61,"{50: 2042, 100: 2040, 250: 2056, 500: 2036}",0.33457,0.13233,0.4669,0.80695,0.18063,0.82664
62,"{50: 2081, 100: 2070, 250: 2088, 500: 2069}",0.33501,0.13297,0.46798,0.80901,0.21933,0.82664
63,"{50: 2121, 100: 2105, 250: 2114, 500: 2102}",0.33214,0.12871,0.46085,0.80682,0.22902,0.82664
64,"{50: 2150, 100: 2142, 250: 2148, 500: 2136}",0.3333,0.129,0.46229,0.8105,0.27374,0.82664
65,"{50: 2179, 100: 2175, 250: 2186, 500: 2170}",0.33224,0.12536,0.4576,0.81459,0.28095,0.82664
66,"{50: 2214, 100: 2210, 250: 2217, 500: 2203}",0.33187,0.12863,0.4605,0.814,0.33845,0.82664
67,"{50: 2246, 100: 2248, 250: 2245, 500: 2239}",0.3322,0.12743,0.45963,0.81351,0.28282,0.82664
68,"{50: 2284, 100: 2286, 250: 2279, 500: 2263}",0.33042,0.12385,0.45427,0.81891,0.36423,0.82664
69,"{50: 2311, 100: 2331, 250: 2310, 500: 2294}",0.33033,0.12514,0.45548,0.79009,0.15451,0.82664
70,"{50: 2344, 100: 2372, 250: 2340, 500: 2324}",0.32933,0.12386,0.45319,0.81145,0.27975,0.82664
71,"{50: 2382, 100: 2399, 250: 2371, 500: 2362}",0.32867,0.1226,0.45127,0.81338,0.2449,0.82664
72,"{50: 2410, 100: 2435, 250: 2397, 500: 2406}",0.32909,0.1225,0.45159,0.8074,0.23982,0.82664
73,"{50: 2440, 100: 2459, 250: 2438, 500: 2445}",0.32934,0.12293,0.45227,0.76268,0.11497,0.82664
74,"{50: 2475, 100: 2498, 250: 2467, 500: 2476}",0.32644,0.12034,0.44678,0.81636,0.31024,0.82664
75,"{50: 2512, 100: 2532, 250: 2501, 500: 2505}",0.32646,0.12374,0.4502,0.82634,0.42126,0.82664
76,"{50: 2548, 100: 2568, 250: 2527, 500: 2541}",0.32774,0.12091,0.44866,0.81396,0.32224,0.82664
77,"{50: 2583, 100: 2592, 250: 2560, 500: 2583}",0.32582,0.11746,0.44328,0.78357,0.15003,0.82664
78,"{50: 2614, 100: 2622, 250: 2594, 500: 2622}",0.32637,0.12067,0.44704,0.7327,0.11353,0.82664
79,"{50: 2643, 100: 2652, 250: 2633, 500: 2658}",0.32609,0.11976,0.44585,0.76399,0.12006,0.82664
80,"{50: 2674, 100: 2686, 250: 2668, 500: 2692}",0.32481,0.11674,0.44154,0.81707,0.36699,0.82664
81,"{50: 2713, 100: 2715, 250: 2706, 500: 2720}",0.32388,0.11968,0.44356,0.81479,0.33728,0.82664
