epoch,bce,kd,total,val_auc,best_val_auc
1,0.4215,1.68527,2.10677,0.82283,0.82283
2,0.37669,1.28016,1.65685,0.83725,0.83725
3,0.36429,1.19498,1.55928,0.83408,0.83725
4,0.35991,1.15819,1.51811,0.84078,0.84078
5,0.35496,1.12712,1.48208,0.83622,0.84078
6,0.34958,1.09978,1.44935,0.84538,0.84538
7,0.34601,1.07441,1.42042,0.83337,0.84538
8,0.34189,1.05384,1.39573,0.84237,0.84538
9,0.33714,1.03081,1.36795,0.84412,0.84538
10,0.33129,1.00712,1.33841,0.84353,0.84538
11,0.32781,0.9939,1.32171,0.8406,0.84538
12,0.32368,0.97265,1.29633,0.83772,0.84538
13,0.31646,0.94898,1.26544,0.84489,0.84538
14,0.30871,0.91648,1.22519,0.83743,0.84538
15,0.30079,0.88416,1.18494,0.84453,0.84538
16,0.29405,0.86076,1.15481,0.84423,0.84538
17,0.28286,0.82127,1.10413,0.83972,0.84538
18,0.2741,0.80752,1.08162,0.83948,0.84538
19,0.26548,0.77466,1.04014,0.83897,0.84538
20,0.25471,0.74558,1.00029,0.84034,0.84538
21,0.24736,0.72261,0.96998,0.84089,0.84538
22,0.23908,0.70022,0.93931,0.83952,0.84538
23,0.23203,0.68154,0.91356,0.83937,0.84538
24,0.22585,0.66429,0.89014,0.83665,0.84538
25,0.2202,0.65012,0.87032,0.83666,0.84538
26,0.2145,0.63069,0.84519,0.84199,0.84538
27,0.21031,0.6191,0.82941,0.834,0.84538
28,0.20743,0.60928,0.8167,0.83822,0.84538
29,0.20322,0.60335,0.80657,0.83655,0.84538
30,0.19975,0.58678,0.78653,0.83962,0.84538
31,0.19652,0.58473,0.78125,0.83894,0.84538
32,0.19209,0.57171,0.7638,0.83774,0.84538
33,0.19027,0.56584,0.7561,0.83588,0.84538
34,0.18914,0.55823,0.74737,0.83769,0.84538
35,0.18718,0.55375,0.74093,0.83641,0.84538
36,0.18471,0.54987,0.73458,0.83701,0.84538
37,0.18365,0.54253,0.72617,0.83847,0.84538
38,0.1825,0.54023,0.72273,0.83641,0.84538
39,0.18198,0.53518,0.71716,0.841,0.84538
40,0.17903,0.53162,0.71064,0.8388,0.84538
41,0.17965,0.53042,0.71007,0.83941,0.84538
42,0.17808,0.52478,0.70286,0.8383,0.84538
43,0.17733,0.52214,0.69947,0.83823,0.84538
44,0.17592,0.52087,0.69679,0.83885,0.84538
45,0.17562,0.51838,0.694,0.8384,0.84538
46,0.17532,0.51288,0.6882,0.8374,0.84538
47,0.17402,0.51351,0.68753,0.83777,0.84538
48,0.17399,0.50705,0.68104,0.84118,0.84538
49,0.17253,0.50332,0.67585,0.83909,0.84538
50,0.17277,0.50256,0.67533,0.83904,0.84538
51,0.17159,0.50135,0.67294,0.83899,0.84538
52,0.17143,0.49772,0.66915,0.84079,0.84538
53,0.17114,0.4959,0.66704,0.83879,0.84538
54,0.17003,0.49237,0.6624,0.83891,0.84538
55,0.16996,0.49037,0.66033,0.83851,0.84538
56,0.16974,0.48871,0.65846,0.8399,0.84538
57,0.16934,0.48896,0.6583,0.84037,0.84538
58,0.16909,0.48694,0.65603,0.83908,0.84538
59,0.16879,0.48635,0.65514,0.84028,0.84538
60,0.16869,0.48503,0.65372,0.84113,0.84538
61,0.16838,0.48283,0.65121,0.84079,0.84538
62,0.16846,0.4831,0.65156,0.83951,0.84538
63,0.1673,0.48267,0.64998,0.83955,0.84538
64,0.16855,0.4824,0.65095,0.83914,0.84538
65,0.16774,0.4792,0.64694,0.84005,0.84538
66,0.16729,0.47929,0.64658,0.83966,0.84538
67,0.16782,0.47907,0.64689,0.84017,0.84538
68,0.16682,0.47646,0.64328,0.83963,0.84538
69,0.16683,0.47416,0.64098,0.8402,0.84538
70,0.16689,0.47642,0.64331,0.83986,0.84538
71,0.16638,0.47325,0.63963,0.83977,0.84538
72,0.16585,0.47174,0.63759,0.83987,0.84538
73,0.16615,0.47251,0.63866,0.84068,0.84538
74,0.16569,0.4716,0.63729,0.83961,0.84538
75,0.1662,0.47118,0.63739,0.84006,0.84538
76,0.16595,0.47033,0.63628,0.84022,0.84538
77,0.1654,0.47029,0.63569,0.84026,0.84538
78,0.16593,0.4695,0.63543,0.83968,0.84538
79,0.16553,0.46964,0.63517,0.84043,0.84538
80,0.16542,0.4693,0.63473,0.84016,0.84538
81,0.16532,0.46781,0.63313,0.84047,0.84538
82,0.16528,0.46776,0.63304,0.84059,0.84538
83,0.16518,0.46756,0.63273,0.84028,0.84538
84,0.16526,0.46771,0.63296,0.84044,0.84538
85,0.16525,0.46764,0.63289,0.84023,0.84538
86,0.16502,0.46756,0.63258,0.83991,0.84538
87,0.16484,0.46619,0.63104,0.83988,0.84538
88,0.16513,0.46652,0.63165,0.8401,0.84538
89,0.16521,0.46553,0.63074,0.84035,0.84538
90,0.16471,0.46556,0.63027,0.84045,0.84538
91,0.16487,0.46514,0.63001,0.84001,0.84538
92,0.16483,0.46509,0.62992,0.84021,0.84538
93,0.16464,0.46499,0.62963,0.84003,0.84538
94,0.16488,0.46534,0.63023,0.84019,0.84538
95,0.16457,0.46514,0.62972,0.84022,0.84538
96,0.16498,0.46493,0.62991,0.84019,0.84538
97,0.16476,0.46514,0.62989,0.84,0.84538
98,0.16478,0.46545,0.63023,0.84025,0.84538
99,0.16462,0.46515,0.62977,0.84016,0.84538
100,0.16476,0.46444,0.62921,0.84012,0.84538
