epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,total,macro_auc,macro_f1
1,0.4314,1.92943,0.80082,3.42722,0.00217,2.1542,0.83094,0.54125
2,0.36468,1.33458,0.26816,1.59426,0.00217,1.19307,0.83715,0.54947
3,0.34248,1.183,0.18931,1.03753,0.00217,0.99087,0.83903,0.55566
4,0.32312,1.05418,0.14579,0.79683,0.00217,0.86528,0.84322,0.56744
5,0.30398,0.93868,0.12518,0.67052,0.00217,0.77824,0.84014,0.52501
6,0.28986,0.86576,0.12842,0.60784,0.00217,0.73922,0.83971,0.53487
7,0.27884,0.8049,0.11934,0.54503,0.00217,0.69459,0.84426,0.57816
8,0.27148,0.76679,0.1199,0.50591,0.00217,0.67244,0.84314,0.5477
9,0.266,0.74113,0.1202,0.47183,0.00217,0.65616,0.84314,0.54512
10,0.26209,0.71562,0.11856,0.45226,0.00217,0.64099,0.84219,0.57576
11,0.2585,0.70518,0.12065,0.43121,0.00217,0.63426,0.84174,0.5833
12,0.25738,0.69197,0.11957,0.417,0.00217,0.62667,0.84329,0.57546
13,0.25502,0.68593,0.1218,0.4068,0.00217,0.62371,0.8421,0.56678
14,0.25237,0.66907,0.1204,0.39542,0.00217,0.61346,0.84485,0.56724
15,0.25104,0.66423,0.1162,0.37457,0.00217,0.60439,0.84262,0.56477
16,0.25035,0.65709,0.11906,0.37101,0.00217,0.60407,0.84547,0.57163
17,0.24812,0.64723,0.11536,0.36021,0.00218,0.59411,0.84239,0.56531
18,0.24843,0.6502,0.12085,0.35399,0.00218,0.60018,0.84441,0.57444
19,0.24534,0.63311,0.11248,0.3379,0.00218,0.58199,0.84515,0.56704
20,0.24541,0.63832,0.12258,0.33554,0.00218,0.59347,0.84501,0.57745
21,0.24294,0.62272,0.11198,0.32176,0.00218,0.57434,0.84622,0.58002
22,0.24257,0.6199,0.11428,0.31818,0.00218,0.57508,0.846,0.57061
23,0.24177,0.61114,0.1076,0.3056,0.00218,0.56371,0.84346,0.57498
24,0.24101,0.61311,0.11405,0.30797,0.00218,0.57023,0.84466,0.57151
25,0.24033,0.60758,0.1098,0.3014,0.00218,0.56298,0.84539,0.57772
26,0.24004,0.60627,0.11122,0.29257,0.00218,0.56283,0.84587,0.57877
27,0.23979,0.60076,0.11446,0.28964,0.00218,0.56388,0.84565,0.56728
28,0.23888,0.59695,0.10904,0.28552,0.00218,0.55599,0.84631,0.56109
29,0.23857,0.59639,0.11075,0.2847,0.00218,0.55715,0.84677,0.54876
30,0.23818,0.59571,0.11316,0.27639,0.00218,0.55813,0.84562,0.5764
31,0.23795,0.59546,0.11449,0.27879,0.00218,0.55939,0.84488,0.55969
32,0.23755,0.5948,0.11233,0.27183,0.00218,0.55593,0.84656,0.56574
33,0.23606,0.58575,0.10956,0.26593,0.00218,0.54837,0.84599,0.56791
34,0.23633,0.58435,0.1082,0.26343,0.00218,0.54661,0.846,0.56007
35,0.23569,0.5814,0.10723,0.26089,0.00218,0.54386,0.84648,0.5585
36,0.23565,0.58147,0.10754,0.2567,0.00218,0.54373,0.84554,0.58016
37,0.23479,0.5756,0.10536,0.25214,0.00218,0.53848,0.84532,0.58274
38,0.23394,0.57243,0.10504,0.24957,0.00218,0.5361,0.84673,0.56641
39,0.23446,0.57383,0.10501,0.24668,0.00217,0.53672,0.84665,0.55797
40,0.23349,0.5701,0.1045,0.24232,0.00218,0.53369,0.84628,0.57729
41,0.23412,0.57259,0.10603,0.24194,0.00218,0.53655,0.8452,0.57297
42,0.23285,0.57022,0.10545,0.23836,0.00218,0.53363,0.84588,0.56983
43,0.23342,0.56886,0.1039,0.23683,0.00217,0.53209,0.84673,0.56903
44,0.23326,0.56862,0.10485,0.23747,0.00218,0.53288,0.84684,0.57047
45,0.23326,0.56846,0.10429,0.23667,0.00218,0.5322,0.84608,0.57511
46,0.23309,0.56762,0.10376,0.23456,0.00218,0.53103,0.84668,0.56473
47,0.23315,0.56281,0.10319,0.23116,0.00217,0.52873,0.84633,0.57071
48,0.23263,0.56491,0.10207,0.23376,0.00218,0.52799,0.84636,0.57077
49,0.23236,0.56384,0.103,0.23041,0.00217,0.52798,0.84677,0.5694
50,0.23269,0.56256,0.10253,0.22731,0.00217,0.52715,0.84696,0.56475
51,0.23285,0.56538,0.10226,0.22778,0.00217,0.52794,0.84679,0.57049
52,0.23215,0.56098,0.101,0.22662,0.00217,0.52454,0.84661,0.56602
53,0.23223,0.56229,0.10224,0.22501,0.00217,0.5261,0.84659,0.57121
54,0.23229,0.56214,0.10155,0.22569,0.00217,0.52549,0.84679,0.56726
55,0.23248,0.56006,0.10182,0.225,0.00217,0.52525,0.84653,0.56819
56,0.23181,0.56057,0.10118,0.22581,0.00217,0.52418,0.84656,0.56912
57,0.23215,0.56142,0.10173,0.22262,0.00217,0.525,0.84666,0.56993
58,0.23248,0.56232,0.10191,0.22497,0.00217,0.52602,0.84663,0.56978
59,0.23216,0.56188,0.10178,0.22431,0.00217,0.52538,0.84664,0.56962
60,0.23237,0.56231,0.10143,0.22438,0.00217,0.52536,0.84664,0.56673
