epoch,bce,kd,total,val_auc,best_val_auc
1,0.42049,1.59356,2.01405,0.8271,0.8271
2,0.37601,1.20212,1.57813,0.83627,0.83627
3,0.36335,1.11619,1.47955,0.83058,0.83627
4,0.35868,1.08492,1.44361,0.83847,0.83847
5,0.35406,1.05576,1.40982,0.83997,0.83997
6,0.34874,1.03082,1.37956,0.84499,0.84499
7,0.34536,1.00994,1.3553,0.83588,0.84499
8,0.34111,0.98734,1.32845,0.84093,0.84499
9,0.33569,0.96461,1.3003,0.84464,0.84499
10,0.33084,0.94437,1.2752,0.84494,0.84499
11,0.32719,0.93371,1.2609,0.83786,0.84499
12,0.32327,0.91565,1.23892,0.83556,0.84499
13,0.31524,0.89031,1.20555,0.84263,0.84499
14,0.30812,0.86437,1.17249,0.83821,0.84499
15,0.3008,0.83107,1.13187,0.84214,0.84499
16,0.2923,0.80555,1.09784,0.84035,0.84499
17,0.28255,0.77312,1.05567,0.83532,0.84499
18,0.27237,0.75214,1.02452,0.83754,0.84499
19,0.26234,0.71891,0.98125,0.83846,0.84499
20,0.25236,0.69469,0.94705,0.8331,0.84499
21,0.24313,0.66432,0.90745,0.8374,0.84499
22,0.23404,0.64303,0.87707,0.83794,0.84499
23,0.22696,0.62055,0.8475,0.83571,0.84499
24,0.21893,0.60421,0.82314,0.83789,0.84499
25,0.21233,0.58774,0.80007,0.83545,0.84499
26,0.20742,0.57188,0.77929,0.83716,0.84499
27,0.20275,0.5602,0.76295,0.82913,0.84499
28,0.19848,0.54822,0.74669,0.83626,0.84499
29,0.1956,0.54495,0.74055,0.83606,0.84499
30,0.19191,0.52891,0.72082,0.83488,0.84499
31,0.1882,0.52424,0.71244,0.83765,0.84499
32,0.18482,0.51522,0.70004,0.83704,0.84499
33,0.18389,0.50772,0.69162,0.83629,0.84499
34,0.18072,0.50173,0.68245,0.83554,0.84499
35,0.17875,0.49417,0.67292,0.83592,0.84499
36,0.17767,0.49254,0.67021,0.83749,0.84499
37,0.17646,0.4856,0.66206,0.83627,0.84499
38,0.17445,0.48165,0.6561,0.83655,0.84499
39,0.17375,0.47758,0.65133,0.83894,0.84499
40,0.17181,0.47379,0.6456,0.83853,0.84499
41,0.17239,0.47492,0.64731,0.83981,0.84499
42,0.17038,0.46649,0.63686,0.83656,0.84499
43,0.1701,0.46495,0.63505,0.83644,0.84499
44,0.16881,0.46462,0.63343,0.83775,0.84499
45,0.16876,0.4606,0.62936,0.83614,0.84499
46,0.16752,0.45575,0.62327,0.83833,0.84499
47,0.16655,0.45483,0.62138,0.83923,0.84499
48,0.16708,0.45199,0.61907,0.83972,0.84499
49,0.16526,0.44776,0.61303,0.83756,0.84499
50,0.16531,0.44774,0.61305,0.83757,0.84499
51,0.16462,0.44467,0.6093,0.83807,0.84499
52,0.16421,0.44215,0.60636,0.83965,0.84499
53,0.16398,0.44117,0.60515,0.83837,0.84499
54,0.1628,0.43723,0.60003,0.83792,0.84499
55,0.16271,0.4349,0.59761,0.83819,0.84499
56,0.16238,0.43267,0.59505,0.83864,0.84499
57,0.16243,0.43213,0.59456,0.83885,0.84499
58,0.16184,0.43031,0.59215,0.83805,0.84499
59,0.16138,0.43009,0.59147,0.83932,0.84499
60,0.16161,0.42982,0.59143,0.83992,0.84499
61,0.16161,0.42809,0.5897,0.83863,0.84499
62,0.16141,0.42727,0.58869,0.83875,0.84499
63,0.16003,0.42652,0.58654,0.83913,0.84499
64,0.1613,0.42676,0.58806,0.83955,0.84499
65,0.16089,0.4243,0.58518,0.83833,0.84499
66,0.16036,0.42397,0.58433,0.83802,0.84499
67,0.16046,0.4242,0.58466,0.83933,0.84499
68,0.15975,0.42088,0.58063,0.83876,0.84499
69,0.15971,0.41914,0.57885,0.83943,0.84499
70,0.15973,0.42141,0.58114,0.8396,0.84499
71,0.15934,0.4184,0.57774,0.83929,0.84499
72,0.15901,0.41763,0.57664,0.83881,0.84499
73,0.15891,0.41743,0.57633,0.83976,0.84499
74,0.15888,0.41618,0.57506,0.83962,0.84499
75,0.1591,0.41626,0.57536,0.83943,0.84499
76,0.15888,0.41579,0.57467,0.8391,0.84499
77,0.15849,0.41593,0.57442,0.83906,0.84499
78,0.15885,0.41499,0.57384,0.83886,0.84499
79,0.15859,0.41505,0.57364,0.83943,0.84499
80,0.15858,0.41397,0.57254,0.83945,0.84499
81,0.15819,0.41303,0.57121,0.83982,0.84499
82,0.15825,0.41293,0.57119,0.83972,0.84499
83,0.1582,0.41228,0.57048,0.83923,0.84499
84,0.15829,0.41236,0.57065,0.83945,0.84499
85,0.15829,0.41303,0.57132,0.83976,0.84499
86,0.15805,0.41306,0.57111,0.83898,0.84499
87,0.15782,0.41156,0.56937,0.83928,0.84499
88,0.15804,0.41189,0.56994,0.83912,0.84499
89,0.15813,0.41082,0.56895,0.83938,0.84499
90,0.15766,0.41113,0.56879,0.83944,0.84499
91,0.15803,0.41073,0.56876,0.83926,0.84499
92,0.15787,0.41011,0.56799,0.83927,0.84499
93,0.15761,0.41036,0.56797,0.8393,0.84499
94,0.15787,0.41049,0.56836,0.83925,0.84499
95,0.1575,0.41059,0.56808,0.83937,0.84499
96,0.15801,0.41011,0.56812,0.83948,0.84499
97,0.15772,0.41036,0.56808,0.83939,0.84499
98,0.15775,0.41058,0.56832,0.83954,0.84499
99,0.15769,0.41014,0.56784,0.83937,0.84499
100,0.15771,0.40965,0.56735,0.83934,0.84499
