epoch,phase,loss_bce,loss_kd,loss_diff,val_auc,val_f1,best
1,2,0.33217645655660066,0.1872212027802187,0.979604093467488,0.8487826574052164,0.5769366540927215,True
2,2,0.317375989521251,0.1343015384148149,0.8419359624385834,0.8469495037304616,0.5971534787056021,False
3,2,0.31344436810297127,0.13690937091322505,0.8113435226328233,0.844416015446582,0.5799602556558414,False
4,2,0.31213104724884033,0.13950251218150644,0.8032687674550449,0.8470598954319181,0.5743733256791765,False
5,2,0.30662257180494423,0.13076184405123487,0.7962922103264752,0.8458771847281026,0.6008489196576934,False
6,2,0.3041678851141649,0.1298197065206135,0.7858380517538857,0.848254390231744,0.5851314599820798,False
7,2,0.30218878476058736,0.13645265339051976,0.7796199917793274,0.846226465184089,0.5778653374618716,False
8,2,0.30175527579644146,0.1367798815755283,0.7731123058234944,0.8494744879543955,0.5851716818782644,True
9,2,0.29668742505943074,0.12925178952076855,0.76909560491057,0.8478434662933163,0.5874214976768397,False
10,2,0.2952284260707743,0.1338218761717572,0.7684770682278801,0.8485544876264521,0.5999280402865563,False
11,2,0.29343853715588064,0.13033869643421733,0.7655189387938556,0.8474385238163569,0.5894035458583868,False
12,2,0.2916797276805429,0.13345520746181994,0.7618035831872154,0.8478155395550475,0.5923568788771775,False
13,2,0.2875969243400237,0.12949196731342988,0.761016318026711,0.8495649649416193,0.58263602502726,True
14,2,0.28621434990097494,0.13153995507780245,0.758032747927834,0.8467622028718849,0.5816339108761015,False
15,2,0.2846122226294349,0.1335972475216669,0.752174601835363,0.8482579120972801,0.5873741524607784,False
16,2,0.284834606682553,0.13507790556725333,0.7462743731106029,0.845056263008231,0.5882014485758393,False
17,2,0.2843549724887399,0.13704434650785782,0.7395890039556167,0.8479501627733406,0.5849650523850197,False
18,2,0.2813846337444642,0.13265583992880933,0.7355489152319291,0.8489982503248269,0.586183627590414,False
19,2,0.27782846768112746,0.13031602738534703,0.7306198582929724,0.8484620165894106,0.5861690644185241,False
20,2,0.2763962535297169,0.13243555321412928,0.7230399952215307,0.8483347579898496,0.5844566091695163,False
21,2,0.2777567085097818,0.13403183747740352,0.7164598335238064,0.8479586033906644,0.5988585213726079,False
22,2,0.2750721345929539,0.13351392044740565,0.7108347959378186,0.8491057942189648,0.5803693863727276,False
23,2,0.27594806253910065,0.13468664643519065,0.7014750470133388,0.8489651740300429,0.5829490605929714,False
24,2,0.2737470453276354,0.13753865571583018,0.7044650877223295,0.8476740925989382,0.5869489552191959,False
25,2,0.2735228025737931,0.13231609082397291,0.6993951902670019,0.850065616213333,0.587360234252946,True
26,2,0.2708514367832857,0.1344403140246868,0.6944070633719949,0.849146910526596,0.5800523360622651,False
27,2,0.27015498543486877,0.13057880870559635,0.6899796864565682,0.8487377164154413,0.5915278272762183,False
28,2,0.2676456333959804,0.1336294395082137,0.6900266654351178,0.8487456432932209,0.5945610062274179,False
29,2,0.26777093813699837,0.13366784177282276,0.687790746197981,0.8482573632279717,0.5896879573531209,False
30,2,0.26873332393520016,0.1353657672948697,0.6859459526398602,0.8477353405820984,0.5810579116874925,False
31,2,0.26703135406269746,0.13361460912753553,0.6814771767924813,0.847128552467854,0.5913318027782544,False
32,2,0.26622983418843327,0.13384518071132548,0.6805062907583573,0.848526775645842,0.591129390792202,False
33,2,0.26553233143161326,0.13311399190741427,0.6788662970066071,0.8475692072014371,0.5866703674547208,False
34,2,0.26442892192041173,0.13470029589884422,0.6767108826076284,0.8477163220754559,0.584934418034269,False
35,2,0.26458707188858704,0.13489586947595372,0.6750635154107038,0.8486095761195536,0.587102444481904,False
36,2,0.263908227576929,0.13298442258554347,0.6742246834670796,0.8480902293141799,0.5896642636692703,False
37,2,0.26269100299652887,0.13311204138924093,0.6711402728277094,0.8486835566892388,0.583991673925608,False
38,2,0.2625315973863882,0.13442785380517736,0.66956046574256,0.8485661368805679,0.5936649399515079,False
39,2,0.26219390464179654,0.13330319085541895,0.6701617889544543,0.8474790951378266,0.5815679571043129,False
40,2,0.2628907377229017,0.13527903574354508,0.669107552836923,0.8467719508340436,0.5847649374741933,False
41,2,0.26223767198183956,0.13370831792845445,0.6663586812860826,0.8481181071013342,0.5837100345623704,False
42,2,0.26101817979532127,0.13270229780498674,0.6670984310262343,0.8487746943941321,0.5881108130425443,False
43,2,0.2601150901002042,0.13228147564565435,0.6660393125870648,0.8493832691011398,0.5826462018480907,False
44,2,0.2605407110908452,0.13215594256625457,0.666219900636112,0.8484422346147719,0.5884982451481452,False
45,2,0.25938824695699353,0.13135039696798606,0.6629951315767625,0.8480116203144282,0.5877410486203501,False
46,2,0.2592449275886311,0.1358006907736554,0.6635040027253768,0.8462946002309261,0.585350539840739,False
47,2,0.26206521251622367,0.13609355644268148,0.6623915872153114,0.849409143602872,0.5854664223152428,False
48,2,0.25904905620743246,0.13332072075675516,0.660008430480957,0.8485970542539715,0.579635460044082,False
49,2,0.259118699852158,0.1329443906159962,0.6597295578788308,0.8480599501424118,0.5806780373001749,False
50,2,0.2577572429881376,0.13117046435089671,0.6590570789926192,0.847517223563537,0.5871435175735019,False
51,2,0.25864115313572045,0.13170544101911433,0.6614940990419949,0.8473583191498262,0.5882125337030206,False
52,2,0.2573554397505872,0.13017095647314014,0.6600961089134216,0.8480692745688531,0.5837478779600376,False
