epoch,bce,kd,total,val_auc,best_val_auc
1,0.40448,1.58367,1.98815,0.83844,0.83844
2,0.37971,1.36903,1.74874,0.84646,0.84646
3,0.37187,1.29585,1.66772,0.84924,0.84924
4,0.36941,1.26723,1.63663,0.84319,0.84924
5,0.36275,1.23719,1.59993,0.8448,0.84924
6,0.35997,1.20748,1.56745,0.84687,0.84924
7,0.35643,1.17874,1.53517,0.84832,0.84924
8,0.35325,1.16213,1.51538,0.8502,0.8502
9,0.35417,1.16208,1.51625,0.84908,0.8502
10,0.34968,1.13224,1.48192,0.85549,0.85549
11,0.35075,1.13209,1.48284,0.84483,0.85549
12,0.34793,1.11918,1.4671,0.84456,0.85549
13,0.34694,1.1044,1.45134,0.85072,0.85549
14,0.34375,1.08595,1.42969,0.85376,0.85549
15,0.34208,1.06925,1.41132,0.855,0.85549
16,0.33821,1.05049,1.38871,0.84848,0.85549
17,0.33528,1.03331,1.36858,0.84939,0.85549
18,0.3331,1.01096,1.34406,0.85055,0.85549
19,0.3289,0.98886,1.31776,0.85372,0.85549
20,0.32503,0.9694,1.29442,0.85101,0.85549
21,0.32154,0.94268,1.26422,0.84582,0.85549
22,0.31748,0.91097,1.22845,0.84682,0.85549
23,0.30894,0.86151,1.17045,0.84609,0.85549
24,0.30509,0.83582,1.14092,0.84883,0.85549
25,0.29833,0.796,1.09433,0.84997,0.85549
26,0.28907,0.73595,1.02502,0.84157,0.85549
27,0.28206,0.68506,0.96712,0.84084,0.85549
28,0.2742,0.63046,0.90466,0.83879,0.85549
29,0.26286,0.57275,0.83561,0.83726,0.85549
30,0.25689,0.53308,0.78997,0.8395,0.85549
31,0.24827,0.4795,0.72776,0.83979,0.85549
32,0.23967,0.43386,0.67352,0.83785,0.85549
33,0.23228,0.38647,0.61876,0.83893,0.85549
34,0.22451,0.34314,0.56765,0.84074,0.85549
35,0.21987,0.31563,0.53549,0.83944,0.85549
36,0.21563,0.28923,0.50485,0.84217,0.85549
37,0.20974,0.25626,0.466,0.83904,0.85549
38,0.20521,0.23804,0.44326,0.842,0.85549
39,0.20202,0.21186,0.41387,0.84175,0.85549
40,0.19981,0.19868,0.3985,0.84462,0.85549
41,0.19745,0.18242,0.37987,0.84103,0.85549
42,0.19586,0.16936,0.36522,0.84245,0.85549
43,0.19289,0.16364,0.35653,0.8437,0.85549
44,0.19185,0.14949,0.34134,0.84134,0.85549
45,0.1902,0.1368,0.32701,0.84389,0.85549
46,0.18949,0.13004,0.31953,0.84138,0.85549
47,0.18706,0.11879,0.30585,0.84303,0.85549
48,0.187,0.11331,0.30031,0.84298,0.85549
49,0.1864,0.11041,0.29681,0.84153,0.85549
50,0.18576,0.10076,0.28652,0.83989,0.85549
51,0.18573,0.10859,0.29432,0.84479,0.85549
52,0.18425,0.10206,0.28631,0.8441,0.85549
53,0.18397,0.09351,0.27748,0.84227,0.85549
54,0.18382,0.09151,0.27533,0.84234,0.85549
55,0.18268,0.08773,0.27041,0.84185,0.85549
56,0.18243,0.08679,0.26922,0.84449,0.85549
57,0.18229,0.08644,0.26873,0.84425,0.85549
58,0.18123,0.07913,0.26036,0.84287,0.85549
59,0.18179,0.07955,0.26134,0.84416,0.85549
60,0.18117,0.07261,0.25377,0.84423,0.85549
61,0.18138,0.07483,0.25621,0.84427,0.85549
62,0.18081,0.07086,0.25168,0.84463,0.85549
63,0.18032,0.06888,0.2492,0.84287,0.85549
64,0.17964,0.06416,0.2438,0.84185,0.85549
65,0.17957,0.06311,0.24268,0.84488,0.85549
66,0.18016,0.06192,0.24207,0.84377,0.85549
67,0.17956,0.06404,0.2436,0.84448,0.85549
68,0.17972,0.06149,0.24121,0.84341,0.85549
69,0.17926,0.06209,0.24135,0.84356,0.85549
70,0.17839,0.05486,0.23325,0.84415,0.85549
71,0.17876,0.05748,0.23624,0.84417,0.85549
72,0.17859,0.05579,0.23438,0.84541,0.85549
73,0.17851,0.05236,0.23087,0.84431,0.85549
74,0.1778,0.05347,0.23127,0.84411,0.85549
75,0.17795,0.0537,0.23165,0.84501,0.85549
76,0.17803,0.05197,0.23,0.84422,0.85549
77,0.17735,0.04693,0.22428,0.84482,0.85549
78,0.17809,0.04941,0.2275,0.84514,0.85549
79,0.17707,0.04979,0.22687,0.84556,0.85549
80,0.17744,0.04769,0.22513,0.8445,0.85549
81,0.17769,0.05008,0.22776,0.84416,0.85549
82,0.17766,0.04527,0.22293,0.84463,0.85549
83,0.1771,0.04428,0.22138,0.84539,0.85549
84,0.1773,0.04627,0.22357,0.8454,0.85549
85,0.17718,0.04533,0.22251,0.84492,0.85549
86,0.17724,0.04535,0.22259,0.84414,0.85549
87,0.17677,0.04457,0.22134,0.84452,0.85549
88,0.1768,0.04183,0.21862,0.8453,0.85549
89,0.1766,0.04366,0.22027,0.84533,0.85549
90,0.17667,0.04142,0.21809,0.8447,0.85549
91,0.17648,0.04133,0.21781,0.84536,0.85549
92,0.17664,0.04108,0.21772,0.8448,0.85549
93,0.17643,0.04129,0.21773,0.84493,0.85549
94,0.17682,0.03984,0.21665,0.84501,0.85549
95,0.17673,0.04056,0.21729,0.84519,0.85549
96,0.17635,0.04125,0.2176,0.84521,0.85549
97,0.17649,0.0406,0.21709,0.84519,0.85549
98,0.17653,0.04131,0.21784,0.8451,0.85549
99,0.17619,0.04161,0.21781,0.84515,0.85549
100,0.17697,0.04155,0.21852,0.84522,0.85549
