method,lead,hz,losses,seed,class,auc,f1_0_5,f1_tuned,precision,recall,specificity,support,positive_rate
II_100hz_bce,II,100,bce,0,NORM,0.8779,0.7595,0.7825,0.6976,0.891,0.6887,963,0.4462
II_100hz_bce,II,100,bce,0,MI,0.7857,0.4633,0.549,0.4796,0.6418,0.7618,550,0.2549
II_100hz_bce,II,100,bce,0,STTC,0.8641,0.645,0.6402,0.554,0.7582,0.8057,521,0.2414
II_100hz_bce,II,100,bce,0,CD,0.8097,0.5324,0.592,0.5639,0.623,0.8562,496,0.2298
II_100hz_bce,II,100,bce,0,HYP,0.7468,0.2959,0.3687,0.2974,0.4847,0.8418,262,0.1214
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",0,NORM,0.8929,0.8071,0.8026,0.733,0.8868,0.7397,963,0.4462
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",0,MI,0.809,0.5242,0.5815,0.4821,0.7327,0.7307,550,0.2549
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",0,STTC,0.875,0.5653,0.6558,0.5932,0.7332,0.84,521,0.2414
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",0,CD,0.8584,0.6674,0.6829,0.6885,0.6774,0.9085,496,0.2298
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",0,HYP,0.7518,0.2108,0.3894,0.3289,0.4771,0.8655,262,0.1214
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",0,NORM,0.8955,0.8016,0.8073,0.7316,0.9003,0.7339,963,0.4462
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",0,MI,0.8074,0.4881,0.5853,0.5213,0.6673,0.7904,550,0.2549
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",0,STTC,0.8775,0.6237,0.665,0.5865,0.7678,0.8277,521,0.2414
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",0,CD,0.857,0.6644,0.6653,0.6913,0.6411,0.9146,496,0.2298
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",0,HYP,0.7524,0.2156,0.3678,0.2764,0.5496,0.8012,262,0.1214
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",0,NORM,0.8967,0.8032,0.8104,0.7306,0.9097,0.7297,963,0.4462
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",0,MI,0.8118,0.4512,0.5863,0.5174,0.6764,0.7842,550,0.2549
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",0,STTC,0.8765,0.6329,0.665,0.5899,0.762,0.8314,521,0.2414
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",0,CD,0.8587,0.6438,0.6702,0.7172,0.629,0.926,496,0.2298
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",0,HYP,0.755,0.236,0.3656,0.2677,0.5763,0.7822,262,0.1214
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",0,NORM,0.895,0.8036,0.8089,0.7572,0.8681,0.7757,963,0.4462
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",0,MI,0.8136,0.4693,0.5932,0.5317,0.6709,0.7979,550,0.2549
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",0,STTC,0.8753,0.6303,0.6616,0.5892,0.7543,0.8326,521,0.2414
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",0,CD,0.8573,0.6488,0.6446,0.7408,0.5706,0.9404,496,0.2298
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",0,HYP,0.7548,0.2249,0.3685,0.2762,0.5534,0.7996,262,0.1214
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",0,NORM,0.8959,0.8057,0.8064,0.7536,0.8671,0.7715,963,0.4462
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",0,MI,0.8112,0.484,0.59,0.5288,0.6673,0.7966,550,0.2549
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",0,STTC,0.876,0.6093,0.6716,0.6499,0.6948,0.8809,521,0.2414
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",0,CD,0.8559,0.6431,0.6751,0.6559,0.6956,0.8911,496,0.2298
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",0,HYP,0.7557,0.2575,0.374,0.2899,0.5267,0.8217,262,0.1214
