epoch,bce,kd2,kd3,total,val_auc,best_val_auc
1,0.46074,1.02865,1.07026,1.5102,0.82021,0.82021
2,0.38489,0.40995,0.40548,0.7926,0.83284,0.83284
3,0.37107,0.31283,0.29368,0.67432,0.83489,0.83489
4,0.36375,0.2821,0.24985,0.62972,0.84102,0.84102
5,0.35991,0.25867,0.23912,0.60881,0.8385,0.84102
6,0.35525,0.24477,0.22441,0.58983,0.84372,0.84372
7,0.3544,0.24199,0.21069,0.58074,0.84273,0.84372
8,0.35048,0.22276,0.19784,0.56078,0.84349,0.84372
9,0.34594,0.22161,0.19007,0.55178,0.845,0.845
10,0.3451,0.20928,0.18667,0.54307,0.84635,0.84635
11,0.34146,0.20781,0.1855,0.53811,0.84256,0.84635
12,0.33972,0.19832,0.17315,0.52545,0.84488,0.84635
13,0.33918,0.21224,0.18729,0.53894,0.84645,0.84645
14,0.33852,0.20938,0.1866,0.53651,0.84235,0.84645
15,0.33649,0.20312,0.17633,0.52622,0.84394,0.84645
16,0.33527,0.19881,0.17462,0.52198,0.84748,0.84748
17,0.33321,0.19322,0.1862,0.52292,0.84566,0.84748
18,0.33182,0.19053,0.1708,0.51248,0.84499,0.84748
19,0.33039,0.18613,0.17053,0.50872,0.84688,0.84748
20,0.32745,0.18118,0.16612,0.5011,0.84462,0.84748
21,0.32551,0.18503,0.16557,0.50082,0.84892,0.84892
22,0.32239,0.18089,0.16076,0.49322,0.84445,0.84892
23,0.32087,0.17812,0.16495,0.49241,0.84697,0.84892
24,0.31892,0.176,0.16199,0.48792,0.84812,0.84892
25,0.31825,0.18287,0.16606,0.49272,0.84586,0.84892
26,0.31694,0.17749,0.1634,0.48738,0.84664,0.84892
27,0.3129,0.17548,0.15855,0.47992,0.84777,0.84892
28,0.31332,0.17549,0.16259,0.48236,0.84502,0.84892
29,0.31084,0.17698,0.1629,0.48078,0.84784,0.84892
30,0.30972,0.17263,0.16615,0.47911,0.84665,0.84892
31,0.30713,0.17589,0.16456,0.47736,0.84718,0.84892
32,0.30626,0.17414,0.16423,0.47544,0.84775,0.84892
33,0.30372,0.16696,0.16146,0.46793,0.84717,0.84892
34,0.30219,0.17648,0.16154,0.47121,0.84771,0.84892
35,0.2994,0.16879,0.16026,0.46392,0.84569,0.84892
36,0.29919,0.17133,0.16034,0.46503,0.84551,0.84892
37,0.29896,0.16955,0.16504,0.46625,0.84632,0.84892
38,0.29558,0.16739,0.16114,0.45985,0.84691,0.84892
39,0.29541,0.16947,0.16155,0.46092,0.84631,0.84892
40,0.29184,0.1603,0.15843,0.45121,0.84689,0.84892
41,0.29105,0.16853,0.16137,0.456,0.84725,0.84892
42,0.29034,0.16537,0.16224,0.45415,0.84752,0.84892
43,0.28692,0.16335,0.15894,0.44806,0.84679,0.84892
44,0.28704,0.16388,0.15937,0.44866,0.84696,0.84892
45,0.28492,0.16471,0.16289,0.44872,0.84657,0.84892
46,0.2855,0.16821,0.16157,0.45039,0.84732,0.84892
47,0.28561,0.16718,0.16678,0.45259,0.8461,0.84892
48,0.28447,0.16425,0.16508,0.44913,0.8477,0.84892
49,0.28118,0.16543,0.15721,0.4425,0.84723,0.84892
50,0.27943,0.16494,0.16122,0.44251,0.84618,0.84892
51,0.28067,0.16771,0.1644,0.44672,0.84686,0.84892
52,0.2796,0.16199,0.15999,0.44059,0.84756,0.84892
53,0.27521,0.15822,0.15983,0.43423,0.84654,0.84892
54,0.2763,0.16241,0.16083,0.43792,0.84663,0.84892
55,0.27593,0.16049,0.16121,0.43677,0.8469,0.84892
56,0.27486,0.16388,0.16276,0.43818,0.84738,0.84892
57,0.27497,0.16625,0.16038,0.43829,0.84807,0.84892
58,0.27483,0.16358,0.16383,0.43854,0.8476,0.84892
59,0.27191,0.15934,0.16257,0.43287,0.84707,0.84892
60,0.27311,0.16511,0.16305,0.43719,0.84786,0.84892
61,0.27164,0.16183,0.16298,0.43404,0.84744,0.84892
62,0.27136,0.16554,0.1603,0.43428,0.84747,0.84892
63,0.27089,0.16166,0.16292,0.43318,0.84705,0.84892
64,0.27022,0.16164,0.15899,0.43054,0.84775,0.84892
65,0.2705,0.16297,0.16412,0.43404,0.8462,0.84892
66,0.26961,0.16305,0.16128,0.43178,0.8475,0.84892
67,0.26924,0.16506,0.15996,0.43175,0.84717,0.84892
68,0.26869,0.16008,0.16072,0.42909,0.84689,0.84892
69,0.26802,0.15877,0.15833,0.42657,0.84777,0.84892
70,0.26756,0.16658,0.15985,0.43078,0.84713,0.84892
71,0.26757,0.16156,0.16151,0.4291,0.84722,0.84892
72,0.26643,0.15938,0.16035,0.42629,0.84744,0.84892
73,0.2664,0.1588,0.16079,0.4262,0.84763,0.84892
74,0.26635,0.16244,0.15676,0.42594,0.84735,0.84892
75,0.26638,0.15838,0.16851,0.42983,0.84722,0.84892
76,0.26642,0.16175,0.15942,0.42701,0.84792,0.84892
77,0.2658,0.15883,0.16298,0.4267,0.84751,0.84892
78,0.26587,0.16338,0.15747,0.42629,0.84765,0.84892
79,0.26541,0.16057,0.16082,0.42611,0.84716,0.84892
80,0.26549,0.16062,0.15909,0.42535,0.84778,0.84892
81,0.26503,0.15431,0.16265,0.42352,0.84749,0.84892
82,0.26479,0.16169,0.15755,0.42441,0.84735,0.84892
83,0.2653,0.15898,0.16133,0.42546,0.84748,0.84892
84,0.26432,0.16017,0.15766,0.42324,0.84741,0.84892
85,0.26477,0.15675,0.15764,0.42197,0.84723,0.84892
86,0.26407,0.15673,0.16472,0.4248,0.8478,0.84892
87,0.26412,0.16223,0.15727,0.42387,0.84784,0.84892
88,0.26329,0.1551,0.161,0.42134,0.84766,0.84892
89,0.26413,0.16073,0.15881,0.42391,0.8476,0.84892
90,0.26447,0.15746,0.16077,0.42359,0.8475,0.84892
91,0.26391,0.15733,0.15873,0.42193,0.84766,0.84892
92,0.26339,0.16054,0.1569,0.42211,0.84752,0.84892
93,0.2639,0.15609,0.16082,0.42236,0.84759,0.84892
94,0.26314,0.16231,0.1542,0.4214,0.84758,0.84892
95,0.26367,0.15657,0.16135,0.42264,0.84749,0.84892
96,0.26327,0.15711,0.15936,0.4215,0.84757,0.84892
97,0.26317,0.15699,0.15825,0.42079,0.84754,0.84892
98,0.26387,0.15711,0.15907,0.42196,0.84753,0.84892
99,0.26293,0.15697,0.15854,0.42068,0.84752,0.84892
100,0.2633,0.15763,0.15834,0.42128,0.84755,0.84892
