epoch,bce,kd2,kd3,total,val_auc,best_val_auc
1,0.46948,1.22687,1.11591,1.64087,0.81728,0.81728
2,0.39179,0.53658,0.43711,0.87864,0.82829,0.82829
3,0.38124,0.43055,0.35026,0.77164,0.83454,0.83454
4,0.3733,0.38747,0.30301,0.71854,0.83529,0.83529
5,0.3672,0.35001,0.27162,0.67801,0.84189,0.84189
6,0.36243,0.34229,0.26113,0.66414,0.84314,0.84314
7,0.36061,0.32051,0.24311,0.64243,0.83929,0.84314
8,0.35427,0.29677,0.21739,0.61135,0.84176,0.84314
9,0.35141,0.2884,0.21821,0.60472,0.84636,0.84636
10,0.34784,0.28225,0.20086,0.58939,0.84449,0.84636
11,0.34366,0.26872,0.19395,0.57499,0.84214,0.84636
12,0.34066,0.25857,0.18232,0.56111,0.83765,0.84636
13,0.33916,0.26517,0.19437,0.56892,0.84484,0.84636
14,0.33677,0.25198,0.18255,0.55403,0.84544,0.84636
15,0.33301,0.2466,0.17528,0.54394,0.84484,0.84636
16,0.33136,0.2489,0.17934,0.54548,0.84306,0.84636
17,0.3299,0.25504,0.18359,0.54922,0.84122,0.84636
18,0.32789,0.24341,0.17802,0.53861,0.84722,0.84722
19,0.32491,0.23066,0.16729,0.52388,0.8466,0.84722
20,0.32043,0.22794,0.1615,0.51515,0.84479,0.84722
21,0.31841,0.22678,0.16602,0.51482,0.84536,0.84722
22,0.31495,0.22011,0.16557,0.50779,0.84478,0.84722
23,0.31024,0.21496,0.15912,0.49728,0.84592,0.84722
24,0.30779,0.21413,0.1542,0.49195,0.8462,0.84722
25,0.30727,0.2152,0.16826,0.499,0.84672,0.84722
26,0.30521,0.21713,0.15924,0.49339,0.84775,0.84775
27,0.30029,0.20667,0.15636,0.48181,0.84628,0.84775
28,0.29827,0.20507,0.15854,0.48008,0.84675,0.84775
29,0.29558,0.20264,0.16058,0.47719,0.84888,0.84888
30,0.29319,0.20539,0.15837,0.47507,0.84829,0.84888
31,0.2907,0.20273,0.15473,0.46943,0.8478,0.84888
32,0.28955,0.20497,0.16016,0.47212,0.84933,0.84933
33,0.28716,0.19875,0.15508,0.46407,0.84804,0.84933
34,0.28524,0.19644,0.16003,0.46347,0.84854,0.84933
35,0.28169,0.198,0.15248,0.45693,0.84536,0.84933
36,0.28134,0.19818,0.15932,0.46009,0.84608,0.84933
37,0.28063,0.20106,0.15547,0.45889,0.84768,0.84933
38,0.27679,0.19151,0.15599,0.45054,0.84858,0.84933
39,0.27785,0.1984,0.16053,0.45731,0.84501,0.84933
40,0.2729,0.19076,0.15009,0.44333,0.84692,0.84933
41,0.27211,0.19287,0.15568,0.44639,0.84985,0.84985
42,0.2718,0.19503,0.15708,0.44786,0.8487,0.84985
43,0.2685,0.18965,0.15377,0.44021,0.8466,0.84985
44,0.27061,0.1889,0.15382,0.44197,0.8503,0.8503
45,0.26677,0.19079,0.15819,0.44126,0.8477,0.8503
46,0.26843,0.19133,0.15811,0.44315,0.84963,0.8503
47,0.26873,0.19711,0.15846,0.44652,0.84835,0.8503
48,0.2666,0.19031,0.15822,0.44086,0.84979,0.8503
49,0.26443,0.18725,0.15419,0.43516,0.84809,0.8503
50,0.26269,0.18796,0.15655,0.43495,0.84935,0.8503
51,0.26435,0.19084,0.15977,0.43965,0.84919,0.8503
52,0.2639,0.18648,0.15535,0.43482,0.85058,0.85058
53,0.25928,0.18657,0.15138,0.42825,0.84785,0.85058
54,0.2609,0.18733,0.15499,0.43206,0.849,0.85058
55,0.26035,0.18631,0.15468,0.43084,0.84911,0.85058
56,0.25983,0.18492,0.15758,0.43108,0.84886,0.85058
57,0.2598,0.18547,0.15759,0.43133,0.85012,0.85058
58,0.2595,0.18967,0.15544,0.43206,0.84813,0.85058
59,0.25712,0.18588,0.15489,0.4275,0.84975,0.85058
60,0.25831,0.18708,0.15704,0.43037,0.85074,0.85074
61,0.25746,0.18649,0.15589,0.42865,0.84928,0.85074
62,0.25753,0.18424,0.15662,0.42797,0.849,0.85074
63,0.25645,0.18352,0.15532,0.42587,0.85029,0.85074
64,0.25651,0.18283,0.15296,0.4244,0.84997,0.85074
65,0.25633,0.18554,0.15846,0.42833,0.84962,0.85074
66,0.25565,0.18257,0.15455,0.42421,0.84862,0.85074
67,0.25612,0.18172,0.1556,0.42478,0.85015,0.85074
68,0.25502,0.18178,0.15313,0.42247,0.8496,0.85074
69,0.25486,0.18065,0.15158,0.42097,0.85045,0.85074
70,0.25477,0.18491,0.15786,0.42616,0.84969,0.85074
71,0.25508,0.18043,0.15662,0.42361,0.84944,0.85074
72,0.25396,0.17979,0.15416,0.42093,0.85057,0.85074
73,0.25332,0.18385,0.15137,0.42093,0.84995,0.85074
74,0.25428,0.17722,0.15603,0.42091,0.85044,0.85074
75,0.25291,0.18953,0.1536,0.42448,0.84858,0.85074
76,0.25447,0.18098,0.15655,0.42324,0.84919,0.85074
77,0.25285,0.18338,0.15254,0.42081,0.84955,0.85074
78,0.25375,0.17913,0.15415,0.42039,0.85064,0.85074
79,0.25325,0.17946,0.15442,0.42019,0.84923,0.85074
80,0.25366,0.18084,0.15428,0.42122,0.84961,0.85074
81,0.25146,0.18477,0.14977,0.41873,0.84898,0.85074
82,0.25313,0.17975,0.15286,0.41943,0.84949,0.85074
83,0.25302,0.17982,0.15619,0.42102,0.84949,0.85074
84,0.25308,0.17837,0.15364,0.41909,0.85004,0.85074
85,0.25268,0.17989,0.14867,0.41696,0.84988,0.85074
86,0.25133,0.18313,0.15391,0.41985,0.84984,0.85074
87,0.2534,0.17677,0.15458,0.41907,0.85034,0.85074
88,0.25093,0.17828,0.1516,0.41587,0.84992,0.85074
89,0.25252,0.17833,0.1544,0.41889,0.85027,0.85074
90,0.25162,0.18165,0.15096,0.41792,0.84966,0.85074
91,0.25188,0.17881,0.15254,0.41756,0.84977,0.85074
92,0.25227,0.17569,0.15377,0.417,0.85015,0.85074
93,0.25136,0.18151,0.15177,0.418,0.84986,0.85074
94,0.25237,0.17543,0.15475,0.41746,0.85027,0.85074
95,0.25161,0.18096,0.15281,0.4185,0.84981,0.85074
96,0.25128,0.18168,0.15124,0.41774,0.84985,0.85074
97,0.2517,0.17833,0.15116,0.41644,0.84997,0.85074
98,0.25213,0.17898,0.15136,0.4173,0.85005,0.85074
99,0.25149,0.17843,0.15197,0.41669,0.85008,0.85074
100,0.25183,0.17867,0.15071,0.41652,0.85007,0.85074
