epoch,bce,kd2,kd3,total,val_auc,best_val_auc
1,0.47455,2.64581,1.16511,2.38001,0.8161,0.8161
2,0.38699,1.86427,0.43266,1.53545,0.82552,0.82552
3,0.3713,1.7075,0.30386,1.37697,0.83271,0.83271
4,0.36113,1.61921,0.26273,1.3021,0.84068,0.84068
5,0.35362,1.56717,0.23371,1.25406,0.83609,0.84068
6,0.34881,1.51597,0.21762,1.2156,0.8386,0.84068
7,0.34296,1.4935,0.21675,1.19808,0.83131,0.84068
8,0.33791,1.45715,0.20674,1.16985,0.83377,0.84068
9,0.33435,1.42231,0.21324,1.15213,0.83892,0.84068
10,0.32847,1.37964,0.20578,1.12118,0.84264,0.84264
11,0.32151,1.33533,0.20953,1.09394,0.84274,0.84274
12,0.31297,1.27642,0.21607,1.05921,0.84058,0.84274
13,0.30803,1.2462,0.2312,1.04673,0.84232,0.84274
14,0.30052,1.20201,0.23841,1.02073,0.83583,0.84274
15,0.29766,1.18566,0.25414,1.01756,0.83652,0.84274
16,0.28536,1.10035,0.25488,0.96297,0.83956,0.84274
17,0.27657,1.04912,0.27496,0.93861,0.83877,0.84274
18,0.26939,0.99957,0.2999,0.91912,0.83831,0.84274
19,0.25801,0.94113,0.30897,0.88306,0.83833,0.84274
20,0.25136,0.89457,0.32943,0.86336,0.83332,0.84274
21,0.2415,0.83539,0.348,0.83319,0.83839,0.84274
22,0.23183,0.78543,0.3611,0.80509,0.83313,0.84274
23,0.22834,0.7716,0.37649,0.80239,0.83472,0.84274
24,0.21964,0.71568,0.3884,0.77168,0.83618,0.84274
25,0.21341,0.68224,0.39791,0.75349,0.83253,0.84274
26,0.20998,0.65915,0.40864,0.74387,0.83678,0.84274
27,0.20382,0.62283,0.42211,0.72629,0.83426,0.84274
28,0.20076,0.60907,0.42633,0.71847,0.83547,0.84274
29,0.19719,0.59064,0.4315,0.70826,0.83622,0.84274
30,0.19428,0.56542,0.44072,0.69735,0.83765,0.84274
31,0.19036,0.55394,0.44453,0.68959,0.83536,0.84274
32,0.18629,0.52691,0.44769,0.67359,0.83815,0.84274
33,0.18793,0.52883,0.453,0.67885,0.8366,0.84274
34,0.18386,0.5117,0.44907,0.66425,0.83703,0.84274
35,0.18364,0.50954,0.45254,0.66468,0.83579,0.84274
36,0.18082,0.48736,0.45543,0.65222,0.83461,0.84274
37,0.17886,0.48026,0.4552,0.64659,0.83699,0.84274
38,0.17871,0.47504,0.45903,0.64575,0.83322,0.84274
39,0.1776,0.47225,0.46159,0.64452,0.83315,0.84274
40,0.17623,0.45798,0.46072,0.63557,0.83602,0.84274
41,0.17505,0.45241,0.46207,0.63229,0.83644,0.84274
42,0.1733,0.44255,0.46765,0.6284,0.83668,0.84274
43,0.1731,0.44325,0.46718,0.62831,0.83743,0.84274
44,0.17151,0.43169,0.46916,0.62194,0.83542,0.84274
45,0.17167,0.42735,0.47033,0.62051,0.83607,0.84274
46,0.17074,0.42283,0.46581,0.61506,0.83865,0.84274
47,0.1704,0.42277,0.46981,0.61669,0.83615,0.84274
48,0.16972,0.41626,0.46603,0.61086,0.83673,0.84274
49,0.16873,0.41098,0.46722,0.60783,0.83718,0.84274
50,0.16886,0.40965,0.46994,0.60866,0.8369,0.84274
51,0.16892,0.40755,0.47142,0.6084,0.83571,0.84274
52,0.16887,0.40843,0.47146,0.60881,0.83596,0.84274
53,0.16782,0.4018,0.47148,0.60446,0.83556,0.84274
54,0.16889,0.40697,0.47954,0.61215,0.83611,0.84274
55,0.16741,0.40271,0.47287,0.6052,0.83684,0.84274
56,0.16828,0.40692,0.47083,0.60716,0.83765,0.84274
57,0.16787,0.39963,0.47419,0.60478,0.83659,0.84274
58,0.16698,0.3956,0.47065,0.6001,0.83635,0.84274
59,0.16682,0.39583,0.4728,0.60114,0.83763,0.84274
60,0.16582,0.38667,0.47036,0.59434,0.83677,0.84274
61,0.16674,0.39459,0.47447,0.60127,0.83802,0.84274
62,0.16569,0.38713,0.47241,0.59547,0.83734,0.84274
63,0.16533,0.38189,0.47032,0.59144,0.83709,0.84274
64,0.16569,0.38595,0.4724,0.59486,0.83768,0.84274
65,0.16525,0.38373,0.47205,0.59314,0.83835,0.84274
66,0.16451,0.37919,0.46821,0.58821,0.83717,0.84274
67,0.16468,0.37934,0.47222,0.59046,0.83653,0.84274
68,0.16456,0.38046,0.46887,0.58922,0.83738,0.84274
