epoch,bce,kd,total,val_auc,best_val_auc
1,0.44659,2.24644,2.69303,0.81484,0.81484
2,0.37374,1.59808,1.97182,0.82763,0.82763
3,0.36529,1.50669,1.87197,0.83317,0.83317
4,0.355,1.43252,1.78752,0.84059,0.84059
5,0.35178,1.38622,1.738,0.84101,0.84101
6,0.34693,1.35514,1.70207,0.83672,0.84101
7,0.34065,1.30212,1.64277,0.83694,0.84101
8,0.33829,1.2871,1.62538,0.82827,0.84101
9,0.33185,1.23809,1.56994,0.83512,0.84101
10,0.32522,1.19398,1.5192,0.83618,0.84101
11,0.31898,1.14724,1.46622,0.84017,0.84101
12,0.31532,1.12396,1.43928,0.83578,0.84101
13,0.30864,1.07657,1.38522,0.82877,0.84101
14,0.2989,1.02437,1.32327,0.8329,0.84101
15,0.2895,0.95653,1.24602,0.83406,0.84101
16,0.27962,0.88578,1.16539,0.83052,0.84101
17,0.26484,0.79603,1.06087,0.83608,0.84101
18,0.25752,0.74436,1.00188,0.8296,0.84101
19,0.24289,0.654,0.89689,0.82402,0.84101
20,0.22981,0.58202,0.81182,0.81776,0.84101
21,0.22471,0.55108,0.77579,0.81905,0.84101
22,0.2155,0.48793,0.70343,0.821,0.84101
23,0.20669,0.42854,0.63523,0.82575,0.84101
24,0.20126,0.39381,0.59506,0.82153,0.84101
25,0.19684,0.36644,0.56327,0.82244,0.84101
26,0.19144,0.33185,0.52329,0.81175,0.84101
27,0.1879,0.30685,0.49475,0.82232,0.84101
28,0.18332,0.28736,0.47067,0.81983,0.84101
29,0.17968,0.24839,0.42806,0.82471,0.84101
30,0.17669,0.24048,0.41717,0.82736,0.84101
31,0.1742,0.21205,0.38624,0.83137,0.84101
32,0.17419,0.20756,0.38175,0.82356,0.84101
33,0.17151,0.19651,0.36802,0.82574,0.84101
34,0.1716,0.18421,0.35581,0.82554,0.84101
35,0.16685,0.16001,0.32686,0.82546,0.84101
36,0.16568,0.14926,0.31493,0.82857,0.84101
37,0.16508,0.14355,0.30863,0.82836,0.84101
38,0.16541,0.13882,0.30423,0.82338,0.84101
39,0.16289,0.12224,0.28513,0.82895,0.84101
40,0.16169,0.11952,0.28121,0.82713,0.84101
41,0.16246,0.12056,0.28302,0.82542,0.84101
42,0.16062,0.10818,0.26879,0.82866,0.84101
43,0.16045,0.10474,0.26519,0.82779,0.84101
44,0.16063,0.10223,0.26286,0.8268,0.84101
45,0.1594,0.09526,0.25466,0.82995,0.84101
46,0.15911,0.09203,0.25114,0.83012,0.84101
47,0.15848,0.09409,0.25256,0.83091,0.84101
48,0.15757,0.0774,0.23497,0.83017,0.84101
49,0.15663,0.07416,0.23079,0.83146,0.84101
50,0.15736,0.08224,0.2396,0.83141,0.84101
51,0.15609,0.06952,0.22561,0.83031,0.84101
52,0.15644,0.07446,0.2309,0.83404,0.84101
53,0.15695,0.07437,0.23132,0.83203,0.84101
54,0.15582,0.06722,0.22304,0.83123,0.84101
55,0.15452,0.05569,0.21021,0.83183,0.84101
56,0.15431,0.05475,0.20906,0.83315,0.84101
57,0.15453,0.06284,0.21737,0.83356,0.84101
58,0.15404,0.05417,0.20821,0.83308,0.84101
59,0.15333,0.05175,0.20508,0.83206,0.84101
60,0.15373,0.0494,0.20313,0.8322,0.84101
61,0.15302,0.04864,0.20167,0.83236,0.84101
62,0.15385,0.04998,0.20383,0.83283,0.84101
63,0.15302,0.04933,0.20236,0.83076,0.84101
64,0.15338,0.04975,0.20313,0.83322,0.84101
65,0.15276,0.04508,0.19784,0.8309,0.84101
66,0.15293,0.04515,0.19807,0.83317,0.84101
67,0.1525,0.04465,0.19715,0.83252,0.84101
68,0.15277,0.0413,0.19407,0.83259,0.84101
69,0.15221,0.04307,0.19527,0.8324,0.84101
70,0.15191,0.0382,0.19011,0.83295,0.84101
71,0.15202,0.03604,0.18806,0.83303,0.84101
72,0.15206,0.03731,0.18937,0.83238,0.84101
73,0.15171,0.03334,0.18506,0.83345,0.84101
74,0.15121,0.0304,0.18161,0.83273,0.84101
75,0.15162,0.0341,0.18572,0.83286,0.84101
76,0.15193,0.03343,0.18536,0.83341,0.84101
77,0.15075,0.03042,0.18117,0.83336,0.84101
78,0.15128,0.0318,0.18308,0.83306,0.84101
79,0.1512,0.03169,0.18289,0.83378,0.84101
80,0.15192,0.0334,0.18533,0.83199,0.84101
81,0.15166,0.03152,0.18317,0.83239,0.84101
82,0.15126,0.03016,0.18142,0.83359,0.84101
83,0.15138,0.03076,0.18214,0.83238,0.84101
84,0.15164,0.03114,0.18278,0.83336,0.84101
85,0.15108,0.03354,0.18462,0.83259,0.84101
86,0.1507,0.02871,0.17942,0.83278,0.84101
87,0.15163,0.03056,0.18219,0.83333,0.84101
88,0.15113,0.03062,0.18175,0.83328,0.84101
89,0.15131,0.02938,0.18069,0.83327,0.84101
90,0.15182,0.02896,0.18078,0.83328,0.84101
91,0.15051,0.03058,0.18109,0.83307,0.84101
92,0.15102,0.02834,0.17936,0.83321,0.84101
93,0.15108,0.02753,0.17861,0.83309,0.84101
94,0.15116,0.02793,0.17909,0.83349,0.84101
95,0.15087,0.02672,0.1776,0.833,0.84101
96,0.1517,0.03013,0.18183,0.83327,0.84101
97,0.15114,0.02823,0.17937,0.83327,0.84101
98,0.15091,0.02957,0.18048,0.8332,0.84101
99,0.15114,0.02806,0.1792,0.83307,0.84101
100,0.1512,0.02768,0.17888,0.83333,0.84101
