epoch,bce,kd,total,val_auc,best_val_auc
1,0.47542,1.16971,1.64513,0.81422,0.81422
2,0.40013,0.50542,0.90555,0.82615,0.82615
3,0.38445,0.39023,0.77468,0.83207,0.83207
4,0.37585,0.31809,0.69394,0.83615,0.83615
5,0.36905,0.27036,0.63941,0.84395,0.84395
6,0.3657,0.25172,0.61742,0.84097,0.84395
7,0.36237,0.23415,0.59652,0.83919,0.84395
8,0.35815,0.21731,0.57546,0.84332,0.84395
9,0.35539,0.20688,0.56227,0.83735,0.84395
10,0.35208,0.19154,0.54361,0.83949,0.84395
11,0.35039,0.18888,0.53926,0.83889,0.84395
12,0.34637,0.17304,0.51941,0.84303,0.84395
13,0.34323,0.16751,0.51074,0.84282,0.84395
14,0.34058,0.15997,0.50056,0.83928,0.84395
15,0.33831,0.14522,0.48353,0.84311,0.84395
16,0.33668,0.15452,0.4912,0.8428,0.84395
17,0.33314,0.1364,0.46954,0.84291,0.84395
18,0.32878,0.13235,0.46112,0.8381,0.84395
19,0.32523,0.12763,0.45287,0.8462,0.8462
20,0.32206,0.11828,0.44034,0.84667,0.84667
21,0.31815,0.10952,0.42767,0.84358,0.84667
22,0.31909,0.11854,0.43763,0.84104,0.84667
23,0.31462,0.11228,0.42691,0.84076,0.84667
24,0.31022,0.10627,0.41649,0.84098,0.84667
25,0.30901,0.10003,0.40904,0.8474,0.8474
26,0.30551,0.09166,0.39717,0.84389,0.8474
27,0.30246,0.09082,0.39328,0.84384,0.8474
28,0.30136,0.09005,0.39141,0.84382,0.8474
29,0.29921,0.08731,0.38652,0.84603,0.8474
30,0.29832,0.08894,0.38726,0.84465,0.8474
31,0.29468,0.08295,0.37763,0.84461,0.8474
32,0.29188,0.08238,0.37426,0.84602,0.8474
33,0.28889,0.07254,0.36143,0.84632,0.8474
34,0.28775,0.07611,0.36386,0.84629,0.8474
35,0.28531,0.07275,0.35806,0.84479,0.8474
36,0.28465,0.07343,0.35808,0.84373,0.8474
37,0.28393,0.07806,0.36199,0.84443,0.8474
38,0.28038,0.07146,0.35184,0.84553,0.8474
39,0.27901,0.06968,0.34869,0.84692,0.8474
40,0.27868,0.07105,0.34973,0.84577,0.8474
41,0.27727,0.07007,0.34734,0.8464,0.8474
42,0.27484,0.06135,0.3362,0.84734,0.8474
43,0.27371,0.0623,0.336,0.84675,0.8474
44,0.27219,0.05742,0.32961,0.84826,0.84826
45,0.2732,0.06296,0.33616,0.84677,0.84826
46,0.27155,0.05752,0.32907,0.84637,0.84826
47,0.27038,0.0591,0.32948,0.84667,0.84826
48,0.27033,0.06056,0.33089,0.84554,0.84826
49,0.27008,0.05764,0.32772,0.84632,0.84826
50,0.26868,0.05748,0.32617,0.84527,0.84826
51,0.26858,0.05797,0.32655,0.84469,0.84826
52,0.2686,0.05879,0.32739,0.84724,0.84826
53,0.26733,0.05738,0.32471,0.84674,0.84826
54,0.26681,0.05996,0.32677,0.84711,0.84826
55,0.26557,0.05479,0.32036,0.84683,0.84826
56,0.26527,0.05222,0.3175,0.84713,0.84826
57,0.264,0.05115,0.31515,0.848,0.84826
58,0.26355,0.05354,0.31708,0.84772,0.84826
59,0.26378,0.05154,0.31532,0.84773,0.84826
60,0.26322,0.05109,0.31432,0.84797,0.84826
61,0.26225,0.05128,0.31353,0.84783,0.84826
62,0.26272,0.04981,0.31253,0.84668,0.84826
63,0.26375,0.05387,0.31761,0.84789,0.84826
64,0.26285,0.0548,0.31766,0.8473,0.84826
65,0.26261,0.05258,0.31519,0.84777,0.84826
66,0.26203,0.05073,0.31276,0.84806,0.84826
67,0.26173,0.04906,0.31079,0.84803,0.84826
68,0.26088,0.0489,0.30977,0.84808,0.84826
69,0.26062,0.04829,0.30891,0.84748,0.84826
70,0.26101,0.04807,0.30908,0.84727,0.84826
71,0.26056,0.04986,0.31042,0.84728,0.84826
72,0.26081,0.04852,0.30933,0.84723,0.84826
73,0.26036,0.0496,0.30996,0.84742,0.84826
74,0.25967,0.04698,0.30665,0.8482,0.84826
75,0.26003,0.04833,0.30837,0.84794,0.84826
76,0.26009,0.04582,0.30591,0.84839,0.84839
77,0.25896,0.04653,0.30549,0.84763,0.84839
78,0.2596,0.04507,0.30467,0.84761,0.84839
79,0.25985,0.04552,0.30536,0.84781,0.84839
80,0.25923,0.04659,0.30583,0.84741,0.84839
81,0.25888,0.04398,0.30286,0.84805,0.84839
82,0.25904,0.04392,0.30297,0.84812,0.84839
83,0.25928,0.04508,0.30436,0.84788,0.84839
84,0.25954,0.04429,0.30383,0.84801,0.84839
85,0.2588,0.04551,0.30431,0.84822,0.84839
86,0.25864,0.04421,0.30286,0.8479,0.84839
87,0.25881,0.04463,0.30344,0.84808,0.84839
88,0.25919,0.04515,0.30434,0.84783,0.84839
89,0.2586,0.04475,0.30335,0.84807,0.84839
90,0.2587,0.04428,0.30297,0.84778,0.84839
91,0.25842,0.04521,0.30364,0.84827,0.84839
92,0.25904,0.04504,0.30408,0.8478,0.84839
93,0.25925,0.0439,0.30315,0.84815,0.84839
94,0.25824,0.04409,0.30233,0.84801,0.84839
95,0.25837,0.04245,0.30081,0.84803,0.84839
96,0.25818,0.04411,0.30228,0.84809,0.84839
97,0.25837,0.04418,0.30255,0.84805,0.84839
98,0.25874,0.04628,0.30502,0.84804,0.84839
99,0.25841,0.044,0.30241,0.84806,0.84839
100,0.25867,0.04264,0.30131,0.84804,0.84839
