epoch,bce,kd2,kd3,total,val_auc,best_val_auc
1,0.46987,1.16704,1.22242,1.6646,0.80815,0.80815
2,0.3922,0.49825,0.55585,0.91925,0.82537,0.82537
3,0.37933,0.39679,0.45775,0.8066,0.82678,0.82678
4,0.37106,0.33314,0.39247,0.73387,0.8319,0.8319
5,0.36484,0.29431,0.34899,0.68649,0.8437,0.8437
6,0.35924,0.27149,0.32306,0.65651,0.83639,0.8437
7,0.35571,0.25124,0.30317,0.63291,0.83686,0.8437
8,0.34964,0.22675,0.27505,0.60054,0.84099,0.8437
9,0.34494,0.22144,0.2679,0.58962,0.84219,0.8437
10,0.34263,0.20365,0.24936,0.56913,0.84331,0.8437
11,0.33647,0.19354,0.23435,0.55042,0.84241,0.8437
12,0.33255,0.17217,0.21451,0.52589,0.84123,0.8437
13,0.32911,0.18091,0.22168,0.5304,0.84138,0.8437
14,0.32359,0.16106,0.19935,0.50379,0.84644,0.84644
15,0.3184,0.15495,0.18998,0.49087,0.8429,0.84644
16,0.31598,0.15489,0.18901,0.48794,0.84187,0.84644
17,0.31133,0.15267,0.18606,0.48069,0.84264,0.84644
18,0.30626,0.14203,0.1714,0.46298,0.84489,0.84644
19,0.30073,0.1306,0.15646,0.44426,0.84567,0.84644
20,0.29481,0.12097,0.14709,0.42885,0.84182,0.84644
21,0.29092,0.12155,0.14467,0.42404,0.84372,0.84644
22,0.28424,0.11528,0.13552,0.40964,0.84042,0.84644
23,0.2782,0.10971,0.12797,0.39704,0.84326,0.84644
24,0.27422,0.10909,0.12512,0.39132,0.84418,0.84644
25,0.27316,0.10988,0.12081,0.3885,0.84285,0.84644
26,0.26657,0.1016,0.11249,0.37362,0.84686,0.84686
27,0.26087,0.10101,0.10713,0.36494,0.84684,0.84686
28,0.25867,0.10113,0.10509,0.36178,0.844,0.84686
29,0.25354,0.09977,0.10116,0.35401,0.84505,0.84686
30,0.25288,0.09592,0.09743,0.34955,0.84131,0.84686
31,0.24867,0.09419,0.09364,0.34258,0.84581,0.84686
32,0.24501,0.09145,0.08897,0.33521,0.84801,0.84801
33,0.24351,0.09125,0.08662,0.33244,0.84583,0.84801
34,0.24224,0.09476,0.08911,0.33417,0.84573,0.84801
35,0.2395,0.08815,0.08065,0.3239,0.8436,0.84801
36,0.23871,0.09239,0.08404,0.32692,0.84226,0.84801
37,0.23696,0.08989,0.08058,0.3222,0.84606,0.84801
38,0.23316,0.08796,0.07612,0.3152,0.84536,0.84801
39,0.23299,0.08753,0.07707,0.3153,0.84608,0.84801
40,0.22952,0.07961,0.06696,0.3028,0.84552,0.84801
41,0.228,0.0832,0.06817,0.30369,0.84646,0.84801
42,0.22823,0.08421,0.06859,0.30463,0.8467,0.84801
43,0.22598,0.08147,0.06554,0.29949,0.84392,0.84801
44,0.2272,0.07785,0.06364,0.29794,0.84681,0.84801
45,0.22336,0.08206,0.06281,0.2958,0.84528,0.84801
46,0.22465,0.08409,0.06471,0.29905,0.84573,0.84801
47,0.22509,0.08291,0.0654,0.29925,0.84541,0.84801
48,0.22284,0.0819,0.0624,0.29499,0.84568,0.84801
49,0.22076,0.07642,0.05656,0.28725,0.84634,0.84801
50,0.22092,0.0793,0.05857,0.28986,0.84546,0.84801
51,0.22189,0.08131,0.06181,0.29345,0.84602,0.84801
52,0.22056,0.07747,0.05586,0.28722,0.84636,0.84801
53,0.21825,0.07179,0.05118,0.27974,0.8458,0.84801
54,0.21841,0.07504,0.0543,0.28308,0.84773,0.84801
