method_name,lead,hz,losses,n_seeds,class,auc_mean,auc_std,f1_0_5_mean,f1_0_5_std,f1_tuned_mean,f1_tuned_std
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,NORM,0.89038,0.0,0.79961,0.0,0.79776,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,MI,0.79848,0.0,0.44307,0.0,0.57862,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87044,0.0,0.60068,0.0,0.63782,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,CD,0.84509,0.0,0.6181,0.0,0.64388,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,HYP,0.74553,0.0,0.26593,0.0,0.37217,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,NORM,0.88837,0.0,0.79592,0.0,0.79926,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,MI,0.7934,0.0,0.47991,0.0,0.56761,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,STTC,0.86778,0.0,0.58207,0.0,0.62547,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,CD,0.84982,0.0,0.63036,0.0,0.65828,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,HYP,0.74197,0.0,0.24928,0.0,0.36273,0.0
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,NORM,0.888,0.0,0.80019,0.0,0.8,0.0
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,MI,0.79618,0.0,0.41624,0.0,0.57619,0.0
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,STTC,0.86899,0.0,0.58945,0.0,0.66231,0.0
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,CD,0.84661,0.0,0.62884,0.0,0.65328,0.0
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,HYP,0.75031,0.0,0.24581,0.0,0.37659,0.0
ta_ii_500hz,ii,500,"bce,mkd,crf",1,NORM,0.89837,0.0,0.80957,0.0,0.80957,0.0
ta_ii_500hz,ii,500,"bce,mkd,crf",1,MI,0.82033,0.0,0.59016,0.0,0.59016,0.0
ta_ii_500hz,ii,500,"bce,mkd,crf",1,STTC,0.87762,0.0,0.66291,0.0,0.66291,0.0
ta_ii_500hz,ii,500,"bce,mkd,crf",1,CD,0.86818,0.0,0.6729,0.0,0.6729,0.0
ta_ii_500hz,ii,500,"bce,mkd,crf",1,HYP,0.76394,0.0,0.38133,0.0,0.38133,0.0
teacher_12lead_500hz,12,500,bce,1,NORM,0.94014,0.0,0.84883,0.0,0.84883,0.0
teacher_12lead_500hz,12,500,bce,1,MI,0.93008,0.0,0.75891,0.0,0.75891,0.0
teacher_12lead_500hz,12,500,bce,1,STTC,0.92881,0.0,0.75536,0.0,0.75536,0.0
teacher_12lead_500hz,12,500,bce,1,CD,0.92522,0.0,0.75166,0.0,0.75166,0.0
teacher_12lead_500hz,12,500,bce,1,HYP,0.8362,0.0,0.48041,0.0,0.48041,0.0
