epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.0568413692800438,0.9003044577205882,0.37514117028978133,0.9989149305555556,0.0002999259840548597
2,0.132719861343503,0.9999712775735294,0.15907952189445496,1.0,0.0002997040092642407
3,0.09069290833876413,0.9999712775735294,0.13322644763522679,1.0,0.000299334294690462
4,0.07910516737576793,1.0,0.10250812934504615,1.0,0.0002988172051971717
5,0.0719691102995592,1.0,0.09860398372014363,1.0,0.00029815325108927063
6,0.06631991163115292,1.0,0.09166674647066328,1.0,0.00029734308760930326
7,0.06326121727333349,0.9999425551470589,0.08953062610493766,1.0,0.00029638751429081204
8,0.06150334668071831,0.9999712775735294,0.09664837270975113,1.0,0.0002952874741692946
9,0.05894962007946828,1.0,0.08544081532292896,1.0,0.00029404405285154137
10,0.057539141463006246,0.9999712775735294,0.08613365929987696,1.0,0.0002926584774442729
11,0.05773819747435696,1.0,0.09649745623270671,1.0,0.00029113211534313374
12,0.05619972933302907,1.0,0.12116610258817673,1.0,0.0002894664728832376
13,0.05496813833494397,1.0,0.07752379112773472,1.0,0.0002876631938525971
14,0.052802807158407045,0.9999712775735294,0.0760533751712905,1.0,0.0002857240578699029
15,0.05275958387509865,1.0,0.07699846103787422,1.0,0.00028365097862825513
16,0.05159116870559314,1.0,0.073909775664409,1.0,0.0002814460020065795
17,0.05091983808533234,1.0,0.07090902494059668,1.0,0.0002791113040505915
18,0.050003752495874375,1.0,0.07336229499843386,1.0,0.00027664918882530225
19,0.049841547056156045,1.0,0.07380499607986873,1.0,0.00027406208614118424
20,0.049700096906984556,1.0,0.07347193981210391,1.0,0.0002713525491562421
21,0.0488269054056967,1.0,0.07347072867883576,1.0,0.00026852325185635354
22,0.048562207423588806,1.0,0.07126717683341768,1.0,0.0002655769864163684
23,0.047558141927070474,1.0,0.06743515862358941,1.0,0.00026251666044456895
24,0.04737309459596872,1.0,0.06893194673789872,1.0,0.0002593452941132118
25,0.04752901755273342,1.0,0.07257411256432533,1.0,0.0002560660171779822
26,0.04762272334054989,0.9999712775735294,0.06651015248563555,1.0,0.00025268206588930335
27,0.04660285045118893,1.0,0.0629787068400118,1.0,0.0002491967797985478
28,0.04627354349941015,1.0,0.06726878964238697,1.0,0.0002456135984623035
29,0.04630163301001577,1.0,0.0635329360763232,1.0,0.00024193605804794655
30,0.04656755759873811,1.0,0.06491783054338561,1.0,0.00023816778784387105
31,0.04587440767928081,1.0,0.06358576565980911,1.0,0.00023431250667781966
32,0.04550033955670455,0.9999712775735294,0.06867844363053639,1.0,0.00023037401924684952
33,0.045295730397543484,1.0,0.06369323200649685,1.0,0.00022635621236255572
34,0.044854920193114704,1.0,0.06386211390296619,1.0,0.00022226305111525731
35,0.045127400690141845,1.0,0.06456965621974733,1.0,0.00021809857496093204
36,0.04477596387047978,1.0,0.06395144181119071,1.0,0.00021386689373476092
37,0.04441485838855014,1.0,0.0636665059460534,1.0,0.00020957218359521712
38,0.04428314253249589,1.0,0.05985411090983285,1.0,0.00020521868290270177
39,0.04432859748382779,1.0,0.059944296876589455,1.0,0.00020081068803679377
40,0.04408753148334868,1.0,0.06005173714624511,1.0,0.00019635254915624216
41,0.043774257030557186,1.0,0.05958656925294134,1.0,0.00019184866590588444
42,0.04356116456363131,1.0,0.060237761586904526,1.0,0.00018730348307472821
43,0.04318655775312115,1.0,0.06012539482778973,1.0,0.00018272148620948142
44,0.043221293948590755,1.0,0.058328495257430606,1.0,0.00017810719718785875
45,0.04330851718345109,1.0,0.05814287314812342,1.0,0.00017346516975603468
46,0.04297014462816365,1.0,0.058476130581564374,1.0,0.0001687999850346457
