epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.172536215361427,0.48288143382352944,1.2691030502319336,0.8937017718950907,0.0002999259840548597
2,0.5302009784123477,0.9734030330882353,0.4218935900264316,0.9881092442406548,0.0002997040092642407
3,0.2448825288344832,0.9966107536764706,0.25428692665365005,0.9976128472222222,0.000299334294690462
4,0.17622214731048136,0.9984777113970589,0.19586826198630863,0.9974183373981051,0.0002988172051971717
5,0.13623805979595466,0.9995978860294118,0.15993809617227978,0.9986979166666666,0.00029815325108927063
6,0.120037071625976,0.9996840533088235,0.14969448745250702,0.9989374346203275,0.00029734308760930326
7,0.10842059903285083,0.9997702205882353,0.13490677128235498,0.9991319444444444,0.00029638751429081204
8,0.10130670940613046,0.9997414981617647,0.12564254883262846,0.9993489583333334,0.0002952874741692946
9,0.0945457737235462,0.9998563878676471,0.1150370008415646,0.9995659722222222,0.00029404405285154137
10,0.08913242849795257,0.9999425551470589,0.11107480360402001,0.9993489583333334,0.0002926584774442729
11,0.08522746536661596,0.9999425551470589,0.10583971192439397,0.9989149305555556,0.00029113211534313374
12,0.08327572069623891,0.9998276654411765,0.10141492055522071,0.9991319444444444,0.0002894664728832376
13,0.08158688334857717,0.9999138327205882,0.09980541964371999,0.9991319444444444,0.0002876631938525971
14,0.07835253810181338,0.9999712775735294,0.0960570557249917,0.9997829861111112,0.0002857240578699029
15,0.07552403200636892,1.0,0.09255831688642502,0.9995659722222222,0.00028365097862825513
16,0.07320015241994578,0.9999425551470589,0.09047114517953661,0.9997829861111112,0.0002814460020065795
17,0.07281776419018998,1.0,0.09245602207051383,0.9997829861111112,0.0002791113040505915
18,0.07045654119814143,0.9999425551470589,0.09010115017493565,1.0,0.00027664918882530225
19,0.06926092625979115,0.9999138327205882,0.08846132374472088,1.0,0.00027406208614118424
20,0.06797428078511182,0.9999712775735294,0.08627848575512569,1.0,0.0002713525491562421
21,0.06671925886150669,1.0,0.08713931010829078,1.0,0.00026852325185635354
22,0.06669199658448205,0.9999712775735294,0.08285802892512745,1.0,0.0002655769864163684
23,0.0647358343772152,0.9999712775735294,0.08229945641424921,1.0,0.00026251666044456895
24,0.06325544208726462,0.9999712775735294,0.07968800804681248,1.0,0.0002593452941132118
25,0.0630460343159297,1.0,0.0789144705567095,1.0,0.0002560660171779822
26,0.06360196316724315,1.0,0.07853948366310862,1.0,0.00025268206588930335
27,0.06322523080469931,1.0,0.07825640299253994,1.0,0.0002491967797985478
28,0.061085575862842446,0.9998851102941176,0.07648122476206885,1.0,0.0002456135984623035
29,0.06014161918531446,1.0,0.07580159232020378,1.0,0.00024193605804794655
30,0.059973475304158294,0.9999712775735294,0.0820656708545155,1.0,0.00023816778784387105
31,0.059615701930049586,1.0,0.07562061192260848,1.0,0.00023431250667781966
32,0.05921874156988719,1.0,0.07341078627440664,1.0,0.00023037401924684952
33,0.05804575267521774,0.9999425551470589,0.07401829005943404,1.0,0.00022635621236255572
34,0.05788510068155387,0.9999138327205882,0.07259002452095349,1.0,0.00022226305111525731
35,0.057736840592149424,1.0,0.07287190275059806,1.0,0.00021809857496093204
36,0.05730813911513371,1.0,0.07286569931440884,1.0,0.00021386689373476092
37,0.05607048181049964,0.9999425551470589,0.0725097730755806,1.0,0.00020957218359521712
38,0.055661246070967,1.0,0.07207400600115459,0.9997829861111112,0.00020521868290270177
39,0.05596512868343031,0.9999712775735294,0.07152877292699283,1.0,0.00020081068803679377
