epoch,bce,kd,crf,feat,att,label_corr,akd_weight,mean_recoverability,mean_r500,mean_r100,clrd,total,val_auc,val_f1,best_val_auc
1,0.46197,0.87322,0.0,0.0,0.0,0.0,0.0,,,,0.754529,1.33896,0.81895,0.55141,0.81895
2,0.3844,0.33094,0.0,0.0,0.0,0.0,0.0,,,,0.64781,0.71858,0.82984,0.57302,0.82984
3,0.37098,0.25032,0.0,0.0,0.0,0.0,0.0,,,,0.636401,0.62448,0.83489,0.5885,0.83489
4,0.3658,0.22548,0.0,0.0,0.0,0.0,0.0,,,,0.632578,0.59444,0.83852,0.58689,0.83852
5,0.35827,0.19686,0.0,0.0,0.0,0.0,0.0,,,,0.627701,0.55827,0.84096,0.56477,0.84096
6,0.35759,0.20642,0.0,0.0,0.0,0.0,0.0,,,,0.626692,0.56714,0.84152,0.58982,0.84152
7,0.35198,0.17441,0.0,0.0,0.0,0.0,0.0,,,,0.620487,0.52948,0.84154,0.58662,0.84154
8,0.34862,0.16642,0.0,0.0,0.0,0.0,0.0,,,,0.618549,0.51813,0.84455,0.5902,0.84455
9,0.34631,0.16993,0.0,0.0,0.0,0.0,0.0,,,,0.614223,0.5193,0.8454,0.56672,0.8454
10,0.34466,0.15835,0.0,0.0,0.0,0.0,0.0,,,,0.612701,0.50607,0.84833,0.59194,0.84833
11,0.34183,0.15952,0.0,0.0,0.0,0.0,0.0,,,,0.612225,0.5044,0.84634,0.59247,0.84833
12,0.34091,0.15864,0.0,0.0,0.0,0.0,0.0,,,,0.610549,0.50259,0.84128,0.54977,0.84833
13,0.33917,0.15791,0.0,0.0,0.0,0.0,0.0,,,,0.613297,0.50015,0.84622,0.60102,0.84833
14,0.33569,0.14732,0.0,0.0,0.0,0.0,0.0,,,,0.609469,0.48606,0.84626,0.59453,0.84833
15,0.3349,0.148,0.0,0.0,0.0,0.0,0.0,,,,0.605569,0.48593,0.84646,0.58751,0.84833
16,0.33085,0.13974,0.0,0.0,0.0,0.0,0.0,,,,0.605097,0.47362,0.84676,0.59888,0.84833
17,0.33073,0.14196,0.0,0.0,0.0,0.0,0.0,,,,0.604529,0.47571,0.84692,0.59277,0.84833
18,0.32578,0.13695,0.0,0.0,0.0,0.0,0.0,,,,0.601229,0.46573,0.84469,0.58249,0.84833
19,0.32268,0.13274,0.0,0.0,0.0,0.0,0.0,,,,0.599705,0.45841,0.84805,0.58632,0.84833
20,0.32236,0.14451,0.0,0.0,0.0,0.0,0.0,,,,0.601651,0.46988,0.84498,0.59655,0.84833
21,0.32055,0.13675,0.0,0.0,0.0,0.0,0.0,,,,0.599374,0.46029,0.84801,0.59189,0.84833
22,0.31804,0.13404,0.0,0.0,0.0,0.0,0.0,,,,0.597772,0.45506,0.84653,0.57312,0.84833
23,0.31453,0.1368,0.0,0.0,0.0,0.0,0.0,,,,0.597687,0.45432,0.84827,0.59771,0.84833
24,0.31357,0.13541,0.0,0.0,0.0,0.0,0.0,,,,0.597067,0.45197,0.84764,0.58868,0.84833
25,0.31107,0.13305,0.0,0.0,0.0,0.0,0.0,,,,0.595501,0.4471,0.84891,0.58951,0.84891
26,0.30813,0.13164,0.0,0.0,0.0,0.0,0.0,,,,0.593078,0.44273,0.84769,0.58814,0.84891
27,0.30679,0.1362,0.0,0.0,0.0,0.0,0.0,,,,0.592929,0.44595,0.8481,0.58788,0.84891
28,0.30666,0.13554,0.0,0.0,0.0,0.0,0.0,,,,0.59486,0.44517,0.84675,0.5902,0.84891
29,0.30154,0.12985,0.0,0.0,0.0,0.0,0.0,,,,0.591352,0.43434,0.84616,0.59458,0.84891
30,0.29906,0.13337,0.0,0.0,0.0,0.0,0.0,,,,0.589962,0.43538,0.84841,0.59068,0.84891
31,0.29678,0.12937,0.0,0.0,0.0,0.0,0.0,,,,0.589867,0.4291,0.84828,0.59041,0.84891
32,0.29499,0.13102,0.0,0.0,0.0,0.0,0.0,,,,0.590911,0.42896,0.84912,0.58657,0.84912
