class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89862,0.79038,0.80973,0.37
MI,0.82111,0.56859,0.59903,0.36
STTC,0.87511,0.6519,0.66495,0.27
CD,0.86558,0.68496,0.67937,0.53
HYP,0.76281,0.26667,0.38276,0.2
