class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89951,0.78526,0.81478,0.32
MI,0.82359,0.57028,0.59516,0.33
STTC,0.87402,0.64921,0.67742,0.4
CD,0.86301,0.68904,0.68817,0.44
HYP,0.75952,0.28647,0.36994,0.28
