class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89813,0.78651,0.81024,0.34
MI,0.82047,0.57171,0.6067,0.37
STTC,0.8756,0.644,0.66326,0.27
CD,0.86673,0.68539,0.68228,0.34
HYP,0.76214,0.27717,0.3859,0.23
