class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.88836,0.74372,0.80268,0.33
MI,0.79576,0.56346,0.57574,0.4
STTC,0.863,0.58286,0.64286,0.23
CD,0.84702,0.53665,0.65686,0.22
HYP,0.74768,0.03008,0.34179,0.08
