class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.88856,0.7593,0.79209,0.31
MI,0.79845,0.59311,0.57045,0.44
STTC,0.85798,0.48711,0.65031,0.28
CD,0.83552,0.35889,0.62634,0.12
HYP,0.7631,0.0076,0.35616,0.06
