class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.8964,0.79279,0.79672,0.44
MI,0.80551,0.47399,0.57442,0.29
STTC,0.8657,0.56161,0.64204,0.23
CD,0.85674,0.60077,0.65845,0.31
HYP,0.76351,0.16502,0.3623,0.13
