class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89461,0.79554,0.8104,0.21
MI,0.81371,0.54829,0.58102,0.39
STTC,0.87124,0.61521,0.66494,0.26
CD,0.86,0.65012,0.67532,0.37
HYP,0.75712,0.24294,0.36975,0.2
