epoch,bce,kd,crf,feat,att,label_corr,akd_weight,mean_recoverability,mean_r500,mean_r100,total,val_auc,val_f1,best_val_auc
1,0.45772,1.16718,0.0,0.0,0.0,0.0,0.0,0.94671,0.95276,0.93764,1.6249,0.80724,0.48607,0.80724
2,0.38081,1.06771,0.0,0.0,0.0,0.0,0.0,0.94666,0.95274,0.93753,1.44853,0.8264,0.53881,0.8264
3,0.36895,1.0585,0.0,0.0,0.0,0.0,0.0,0.94666,0.95273,0.93757,1.42746,0.83242,0.58415,0.83242
4,0.36015,1.05193,0.0,0.0,0.0,0.0,0.0,0.94669,0.95277,0.93757,1.41208,0.83485,0.5669,0.83485
5,0.35398,1.04902,0.0,0.0,0.0,0.0,0.0,0.94675,0.95284,0.9376,1.403,0.83673,0.55851,0.83673
6,0.34695,1.04598,0.0,0.0,0.0,0.0,0.0,0.9467,0.95279,0.93757,1.39293,0.83602,0.55881,0.83673
7,0.34392,1.04667,0.0,0.0,0.0,0.0,0.0,0.94669,0.95275,0.9376,1.39059,0.82569,0.49369,0.83673
8,0.33849,1.04461,0.0,0.0,0.0,0.0,0.0,0.94672,0.95278,0.93764,1.3831,0.83973,0.57316,0.83973
9,0.33188,1.047,0.0,0.0,0.0,0.0,0.0,0.9467,0.95275,0.93763,1.37888,0.84051,0.55818,0.84051
10,0.32915,1.04577,0.0,0.0,0.0,0.0,0.0,0.94682,0.95287,0.93773,1.37492,0.83733,0.5619,0.84051
11,0.32239,1.04694,0.0,0.0,0.0,0.0,0.0,0.94673,0.9528,0.93762,1.36933,0.83775,0.5689,0.84051
12,0.31582,1.04661,0.0,0.0,0.0,0.0,0.0,0.94667,0.95277,0.93752,1.36244,0.8351,0.5502,0.84051
13,0.30933,1.04948,0.0,0.0,0.0,0.0,0.0,0.94667,0.95274,0.93756,1.35882,0.83416,0.55534,0.84051
14,0.30326,1.05093,0.0,0.0,0.0,0.0,0.0,0.9467,0.95276,0.9376,1.35418,0.83862,0.57682,0.84051
15,0.2908,1.05234,0.0,0.0,0.0,0.0,0.0,0.9467,0.95281,0.93752,1.34313,0.83206,0.54997,0.84051
16,0.283,1.05613,0.0,0.0,0.0,0.0,0.0,0.94668,0.95275,0.93757,1.33913,0.83542,0.56054,0.84051
17,0.27335,1.06031,0.0,0.0,0.0,0.0,0.0,0.94673,0.9528,0.93763,1.33367,0.83024,0.57374,0.84051
18,0.26091,1.06271,0.0,0.0,0.0,0.0,0.0,0.94674,0.95279,0.93766,1.32362,0.83306,0.53762,0.84051
19,0.24688,1.0657,0.0,0.0,0.0,0.0,0.0,0.94665,0.95276,0.93749,1.31257,0.83735,0.5662,0.84051
20,0.23016,1.07105,0.0,0.0,0.0,0.0,0.0,0.94664,0.9527,0.93755,1.30121,0.83295,0.56051,0.84051
21,0.22155,1.07562,0.0,0.0,0.0,0.0,0.0,0.94668,0.95273,0.9376,1.29717,0.82824,0.55513,0.84051
22,0.2069,1.07911,0.0,0.0,0.0,0.0,0.0,0.94671,0.95279,0.93759,1.28601,0.83183,0.54504,0.84051
23,0.19857,1.08215,0.0,0.0,0.0,0.0,0.0,0.94673,0.95281,0.93761,1.28072,0.83126,0.55537,0.84051
24,0.18806,1.08448,0.0,0.0,0.0,0.0,0.0,0.94666,0.95272,0.93756,1.27253,0.83632,0.57638,0.84051
25,0.17867,1.08752,0.0,0.0,0.0,0.0,0.0,0.94673,0.95281,0.93761,1.26619,0.83554,0.56013,0.84051
26,0.17434,1.08788,0.0,0.0,0.0,0.0,0.0,0.94674,0.9528,0.93766,1.26222,0.83362,0.56228,0.84051
27,0.16879,1.08989,0.0,0.0,0.0,0.0,0.0,0.94668,0.95275,0.93756,1.25868,0.83839,0.56713,0.84051
28,0.16532,1.09074,0.0,0.0,0.0,0.0,0.0,0.94669,0.95274,0.93761,1.25606,0.83553,0.56511,0.84051
29,0.16232,1.0911,0.0,0.0,0.0,0.0,0.0,0.94667,0.95276,0.93754,1.25342,0.83706,0.5686,0.84051
30,0.16086,1.09145,0.0,0.0,0.0,0.0,0.0,0.94666,0.95274,0.93753,1.2523,0.83785,0.58074,0.84051
31,0.15941,1.09115,0.0,0.0,0.0,0.0,0.0,0.94665,0.95271,0.93756,1.25056,0.83743,0.56492,0.84051
32,0.1579,1.09179,0.0,0.0,0.0,0.0,0.0,0.94667,0.95272,0.9376,1.24969,0.83607,0.57678,0.84051
33,0.1561,1.09136,0.0,0.0,0.0,0.0,0.0,0.94673,0.95279,0.93764,1.24746,0.83672,0.56361,0.84051
34,0.15523,1.09244,0.0,0.0,0.0,0.0,0.0,0.94663,0.95275,0.93746,1.24767,0.83704,0.56647,0.84051
35,0.15361,1.0914,0.0,0.0,0.0,0.0,0.0,0.94668,0.95277,0.93754,1.24501,0.84046,0.57898,0.84051
36,0.15258,1.09231,0.0,0.0,0.0,0.0,0.0,0.94673,0.9528,0.93764,1.24489,0.83736,0.57727,0.84051
37,0.15325,1.09178,0.0,0.0,0.0,0.0,0.0,0.94663,0.95272,0.93749,1.24503,0.83498,0.56449,0.84051
38,0.15273,1.09144,0.0,0.0,0.0,0.0,0.0,0.94662,0.95268,0.93753,1.24417,0.83716,0.57722,0.84051
39,0.15209,1.09229,0.0,0.0,0.0,0.0,0.0,0.94666,0.95273,0.93756,1.24438,0.83767,0.55394,0.84051
40,0.15133,1.09033,0.0,0.0,0.0,0.0,0.0,0.9467,0.95278,0.93757,1.24166,0.83769,0.57532,0.84051
41,0.15037,1.09174,0.0,0.0,0.0,0.0,0.0,0.94666,0.95271,0.93759,1.24211,0.83848,0.57342,0.84051
42,0.1508,1.0922,0.0,0.0,0.0,0.0,0.0,0.94667,0.95275,0.93756,1.243,0.83843,0.56323,0.84051
