epoch,bce,kd,crf,feat,att,label_corr,akd_weight,mean_recoverability,mean_r500,mean_r100,total,val_auc,val_f1,best_val_auc
1,0.45553,1.02173,0.0,0.0,0.0,0.0,0.0,0.94671,0.95276,0.93764,1.47726,0.80656,0.48662,0.80656
2,0.37654,0.92387,0.0,0.0,0.0,0.0,0.0,0.94666,0.95274,0.93753,1.30041,0.82852,0.52957,0.82852
3,0.36356,0.91021,0.0,0.0,0.0,0.0,0.0,0.94666,0.95273,0.93757,1.27378,0.83808,0.59316,0.83808
4,0.35489,0.90471,0.0,0.0,0.0,0.0,0.0,0.94669,0.95277,0.93757,1.2596,0.83793,0.5695,0.83808
5,0.34806,0.90017,0.0,0.0,0.0,0.0,0.0,0.94675,0.95284,0.9376,1.24823,0.83779,0.57118,0.83808
6,0.34122,0.89761,0.0,0.0,0.0,0.0,0.0,0.9467,0.95279,0.93757,1.23883,0.83753,0.57964,0.83808
7,0.33848,0.89807,0.0,0.0,0.0,0.0,0.0,0.94669,0.95275,0.9376,1.23655,0.83614,0.55032,0.83808
8,0.33116,0.89552,0.0,0.0,0.0,0.0,0.0,0.94672,0.95278,0.93764,1.22668,0.84084,0.57577,0.84084
9,0.3252,0.89603,0.0,0.0,0.0,0.0,0.0,0.9467,0.95275,0.93763,1.22123,0.84205,0.58068,0.84205
10,0.32167,0.89688,0.0,0.0,0.0,0.0,0.0,0.94682,0.95287,0.93773,1.21854,0.84186,0.56721,0.84205
11,0.31443,0.8964,0.0,0.0,0.0,0.0,0.0,0.94673,0.9528,0.93762,1.21082,0.84033,0.59349,0.84205
12,0.30823,0.89646,0.0,0.0,0.0,0.0,0.0,0.94667,0.95277,0.93752,1.20469,0.84048,0.57431,0.84205
13,0.301,0.89877,0.0,0.0,0.0,0.0,0.0,0.94667,0.95274,0.93756,1.19977,0.83938,0.58883,0.84205
14,0.29375,0.90052,0.0,0.0,0.0,0.0,0.0,0.9467,0.95276,0.9376,1.19427,0.8429,0.5732,0.8429
15,0.28338,0.90108,0.0,0.0,0.0,0.0,0.0,0.9467,0.95281,0.93752,1.18446,0.83703,0.56109,0.8429
16,0.27608,0.9046,0.0,0.0,0.0,0.0,0.0,0.94668,0.95275,0.93757,1.18067,0.83777,0.58648,0.8429
17,0.2705,0.90774,0.0,0.0,0.0,0.0,0.0,0.94673,0.9528,0.93763,1.17824,0.83537,0.60061,0.8429
18,0.253,0.90995,0.0,0.0,0.0,0.0,0.0,0.94674,0.95279,0.93766,1.16295,0.83782,0.53409,0.8429
19,0.23734,0.91332,0.0,0.0,0.0,0.0,0.0,0.94665,0.95276,0.93749,1.15066,0.83777,0.56262,0.8429
20,0.22167,0.91832,0.0,0.0,0.0,0.0,0.0,0.94664,0.9527,0.93755,1.13999,0.83807,0.58595,0.8429
21,0.21055,0.92196,0.0,0.0,0.0,0.0,0.0,0.94668,0.95273,0.9376,1.13252,0.83056,0.56916,0.8429
22,0.19494,0.92653,0.0,0.0,0.0,0.0,0.0,0.94671,0.95279,0.93759,1.12147,0.83586,0.56011,0.8429
23,0.18495,0.92997,0.0,0.0,0.0,0.0,0.0,0.94673,0.95281,0.93761,1.11492,0.83146,0.57809,0.8429
24,0.17333,0.93141,0.0,0.0,0.0,0.0,0.0,0.94666,0.95272,0.93756,1.10474,0.8376,0.58733,0.8429
25,0.16388,0.93545,0.0,0.0,0.0,0.0,0.0,0.94673,0.95281,0.93761,1.09933,0.83306,0.57068,0.8429
26,0.15878,0.93568,0.0,0.0,0.0,0.0,0.0,0.94674,0.9528,0.93766,1.09446,0.82806,0.55522,0.8429
27,0.1532,0.93741,0.0,0.0,0.0,0.0,0.0,0.94668,0.95275,0.93756,1.09062,0.83344,0.58518,0.8429
28,0.15066,0.9383,0.0,0.0,0.0,0.0,0.0,0.94669,0.95274,0.93761,1.08896,0.83581,0.59032,0.8429
29,0.14768,0.93878,0.0,0.0,0.0,0.0,0.0,0.94667,0.95276,0.93754,1.08646,0.83727,0.59371,0.8429
