epoch,bce,kd,crf,feat,att,label_corr,akd_weight,mean_recoverability,mean_r500,mean_r100,total,val_auc,val_f1,best_val_auc
41,0.13806,1.01032,0.0,0.0,0.0,0.0,0.0,0.94666,0.95271,0.93759,1.14838,0.84054,0.57433,0.84457
42,0.13855,1.01103,0.0,0.0,0.0,0.0,0.0,0.94667,0.95275,0.93756,1.14958,0.84024,0.57013,0.84457
43,0.1373,1.0094,0.0,0.0,0.0,0.0,0.0,0.9467,0.95278,0.93759,1.14669,0.83957,0.57477,0.84457
44,0.13795,1.00966,0.0,0.0,0.0,0.0,0.0,0.94666,0.95274,0.93753,1.14761,0.84004,0.58014,0.84457
45,0.13745,1.01042,0.0,0.0,0.0,0.0,0.0,0.94669,0.95274,0.93761,1.14787,0.83993,0.58165,0.84457
46,0.13789,1.01033,0.0,0.0,0.0,0.0,0.0,0.94675,0.9528,0.93766,1.14823,0.84126,0.5863,0.84457
47,0.13885,1.01133,0.0,0.0,0.0,0.0,0.0,0.9467,0.95276,0.9376,1.15017,0.84001,0.58227,0.84457
48,0.13809,1.00975,0.0,0.0,0.0,0.0,0.0,0.94674,0.95283,0.9376,1.14785,0.84083,0.56808,0.84457
49,0.13616,1.01052,0.0,0.0,0.0,0.0,0.0,0.94678,0.95287,0.93764,1.14668,0.84064,0.57678,0.84457
50,0.13591,1.00994,0.0,0.0,0.0,0.0,0.0,0.94672,0.95278,0.93763,1.14585,0.83985,0.5813,0.84457
51,0.13639,1.01091,0.0,0.0,0.0,0.0,0.0,0.94666,0.95276,0.9375,1.1473,0.84159,0.58258,0.84457
52,0.13582,1.01012,0.0,0.0,0.0,0.0,0.0,0.94674,0.9528,0.93765,1.14594,0.84189,0.57594,0.84457
53,0.13495,1.00853,0.0,0.0,0.0,0.0,0.0,0.94675,0.95284,0.93761,1.14348,0.84048,0.58364,0.84457
54,0.13531,1.0102,0.0,0.0,0.0,0.0,0.0,0.94668,0.95275,0.93757,1.14551,0.84106,0.58618,0.84457
55,0.13519,1.0098,0.0,0.0,0.0,0.0,0.0,0.94675,0.95278,0.9377,1.14499,0.84034,0.57477,0.84457
56,0.13519,1.01031,0.0,0.0,0.0,0.0,0.0,0.94668,0.95277,0.93754,1.1455,0.84214,0.57561,0.84457
57,0.1354,1.01045,0.0,0.0,0.0,0.0,0.0,0.94675,0.95282,0.93764,1.14585,0.84058,0.57775,0.84457
58,0.13574,1.00961,0.0,0.0,0.0,0.0,0.0,0.9467,0.95278,0.93757,1.14535,0.8407,0.57998,0.84457
59,0.13412,1.00923,0.0,0.0,0.0,0.0,0.0,0.94662,0.9527,0.9375,1.14335,0.84177,0.57339,0.84457
60,0.13514,1.01017,0.0,0.0,0.0,0.0,0.0,0.94666,0.95271,0.93758,1.14531,0.8415,0.57772,0.84457
