epoch,bce,kd,kd_ema,total,val_auc,best_val_auc
1,0.4586,1.00685,3.95547,1.66322,0.81045,0.81045
2,0.38099,0.38083,1.40939,0.83229,0.83218,0.83218
3,0.36598,0.27803,0.658,0.67691,0.83487,0.83487
4,0.35893,0.23355,0.39946,0.61246,0.83921,0.83921
5,0.35242,0.19932,0.26371,0.56492,0.83924,0.83924
6,0.34853,0.187,0.19577,0.54531,0.84224,0.84224
7,0.34513,0.17211,0.14923,0.5247,0.83887,0.84224
8,0.34085,0.15678,0.11839,0.50355,0.84395,0.84395
9,0.33722,0.14979,0.09574,0.4918,0.84003,0.84395
10,0.33402,0.14267,0.07948,0.48066,0.84435,0.84435
11,0.33167,0.13717,0.07369,0.47252,0.84306,0.84435
12,0.32863,0.13023,0.06803,0.46226,0.84512,0.84512
13,0.325,0.12854,0.06406,0.45674,0.84126,0.84512
14,0.32187,0.11698,0.05604,0.44165,0.84566,0.84566
15,0.31873,0.1037,0.04699,0.42478,0.84714,0.84714
16,0.31857,0.12959,0.07345,0.45183,0.84565,0.84714
17,0.31372,0.10336,0.05004,0.41958,0.84792,0.84792
18,0.30837,0.10082,0.05133,0.41176,0.8448,0.84792
19,0.30337,0.09307,0.04691,0.39878,0.84486,0.84792
20,0.2999,0.08987,0.04844,0.39219,0.84812,0.84812
21,0.29535,0.08693,0.04759,0.38466,0.84255,0.84812
22,0.29429,0.09315,0.05636,0.39025,0.84477,0.84812
23,0.28876,0.08343,0.0487,0.37463,0.83907,0.84812
24,0.28312,0.07934,0.04474,0.3647,0.84607,0.84812
25,0.27951,0.07715,0.04531,0.35892,0.84983,0.84983
26,0.27519,0.0733,0.04266,0.35062,0.84797,0.84983
27,0.27021,0.06828,0.03952,0.34047,0.84329,0.84983
28,0.2696,0.07032,0.04315,0.34208,0.84504,0.84983
29,0.2664,0.07168,0.04431,0.3403,0.84688,0.84983
30,0.26429,0.06836,0.04224,0.33476,0.84742,0.84983
31,0.26007,0.0669,0.04025,0.32898,0.84802,0.84983
32,0.25616,0.06577,0.04007,0.32393,0.84595,0.84983
33,0.25269,0.05767,0.03193,0.31195,0.84712,0.84983
34,0.24905,0.05852,0.03271,0.30921,0.84888,0.84983
35,0.24806,0.05812,0.03364,0.30787,0.84643,0.84983
36,0.24712,0.05767,0.03268,0.30643,0.84653,0.84983
37,0.24703,0.06569,0.04187,0.31482,0.84594,0.84983
38,0.2418,0.05726,0.03121,0.30062,0.84799,0.84983
39,0.24121,0.05753,0.03224,0.30035,0.84772,0.84983
40,0.23792,0.05352,0.02744,0.29281,0.84558,0.84983
41,0.23711,0.05618,0.031,0.29484,0.84684,0.84983
42,0.23537,0.04966,0.0239,0.28623,0.84883,0.84983
43,0.23362,0.04965,0.02309,0.28442,0.84775,0.84983
44,0.23115,0.04473,0.01814,0.27678,0.84798,0.84983
45,0.23174,0.05081,0.02466,0.28378,0.84818,0.84983
46,0.23081,0.04535,0.01937,0.27713,0.84802,0.84983
47,0.22913,0.04547,0.01903,0.27555,0.84489,0.84983
48,0.22917,0.04821,0.02134,0.27845,0.8487,0.84983
49,0.229,0.04462,0.01845,0.27454,0.84884,0.84983
50,0.22751,0.04691,0.01962,0.2754,0.84867,0.84983
51,0.22738,0.04713,0.02056,0.27554,0.84783,0.84983
52,0.22671,0.04547,0.01835,0.2731,0.84737,0.84983
53,0.22618,0.04573,0.01874,0.27285,0.8476,0.84983
54,0.22583,0.0479,0.0207,0.27476,0.84755,0.84983
55,0.225,0.04347,0.01624,0.26928,0.84831,0.84983
56,0.22471,0.04157,0.01431,0.267,0.84843,0.84983
57,0.22383,0.04115,0.01376,0.26567,0.84845,0.84983
58,0.22368,0.0435,0.01642,0.26801,0.84776,0.84983
59,0.2234,0.04104,0.0134,0.26511,0.84792,0.84983
60,0.22311,0.04079,0.01358,0.26458,0.84932,0.84983
61,0.22273,0.04126,0.01373,0.26468,0.84953,0.84983
62,0.22226,0.03901,0.01145,0.26184,0.84889,0.84983
63,0.22301,0.04315,0.01565,0.26694,0.84943,0.84983
64,0.22275,0.04209,0.01442,0.26556,0.84947,0.84983
65,0.22197,0.03991,0.01207,0.26248,0.84864,0.84983
66,0.22207,0.03955,0.01217,0.26223,0.84798,0.84983
67,0.22112,0.03922,0.01111,0.2609,0.84853,0.84983
68,0.22121,0.03911,0.01128,0.26088,0.84827,0.84983
69,0.22087,0.03915,0.01152,0.2606,0.84759,0.84983
70,0.22102,0.03814,0.01029,0.25967,0.84786,0.84983
71,0.22077,0.03918,0.01096,0.26049,0.84793,0.84983
72,0.22083,0.03823,0.01017,0.25957,0.84845,0.84983
73,0.22065,0.03894,0.01078,0.26013,0.84877,0.84983
74,0.21988,0.03567,0.00767,0.25593,0.84891,0.84983
75,0.21981,0.03752,0.00942,0.25781,0.84839,0.84983
76,0.22021,0.03546,0.00754,0.25605,0.8485,0.84983
77,0.21944,0.03588,0.00756,0.2557,0.84857,0.84983
78,0.22005,0.03507,0.00702,0.25548,0.84885,0.84983
79,0.2197,0.03525,0.00684,0.25529,0.8488,0.84983
80,0.21978,0.03628,0.00818,0.25647,0.8487,0.84983
81,0.21889,0.03383,0.00553,0.253,0.84863,0.84983
82,0.21955,0.03342,0.00528,0.25323,0.84884,0.84983
83,0.21941,0.0352,0.00692,0.25496,0.84858,0.84983
84,0.21925,0.03425,0.00593,0.25379,0.84882,0.84983
85,0.21933,0.0353,0.00737,0.255,0.84889,0.84983
86,0.21894,0.03349,0.00514,0.25268,0.84863,0.84983
87,0.21903,0.03461,0.00613,0.25395,0.84899,0.84983
88,0.21933,0.03551,0.00706,0.25519,0.84861,0.84983
89,0.21922,0.03441,0.00613,0.25394,0.84879,0.84983
90,0.21855,0.03437,0.0059,0.25322,0.84849,0.84983
91,0.21904,0.03414,0.00608,0.25348,0.8489,0.84983
