epoch,bce,kd,kd_ema,total,val_auc,best_val_auc
1,0.4547,1.58126,4.21718,2.24682,0.80646,0.80646
2,0.38242,0.96783,1.50661,1.42558,0.833,0.833
3,0.36885,0.846,0.69408,1.24956,0.83744,0.83744
4,0.3606,0.78391,0.42193,1.16561,0.84076,0.84076
5,0.35181,0.73832,0.28523,1.1044,0.83612,0.84076
6,0.34783,0.72617,0.21916,1.08496,0.83714,0.84076
7,0.34271,0.6969,0.1702,1.04812,0.84417,0.84417
8,0.33861,0.67409,0.13075,1.01924,0.84409,0.84417
9,0.33245,0.64909,0.10893,0.98698,0.84719,0.84719
10,0.32792,0.64373,0.1002,0.97666,0.84352,0.84719
11,0.32322,0.62327,0.08635,0.95081,0.84413,0.84719
12,0.31662,0.60674,0.07969,0.92734,0.83982,0.84719
13,0.31377,0.60452,0.08681,0.92263,0.84841,0.84841
14,0.30819,0.58496,0.07654,0.89698,0.84144,0.84841
15,0.30095,0.57733,0.08431,0.88249,0.8412,0.84841
16,0.29504,0.56007,0.07651,0.85893,0.84722,0.84841
17,0.28806,0.5484,0.07794,0.84036,0.84146,0.84841
18,0.28271,0.54341,0.08498,0.83037,0.84341,0.84841
19,0.2753,0.52373,0.07546,0.8028,0.84343,0.84841
20,0.26654,0.50601,0.06799,0.77595,0.84747,0.84841
21,0.26167,0.49975,0.07195,0.76502,0.84661,0.84841
22,0.25166,0.48832,0.07009,0.74348,0.84471,0.84841
23,0.25054,0.49446,0.07834,0.74891,0.84659,0.84841
24,0.24274,0.47725,0.06763,0.72337,0.84797,0.84841
25,0.23901,0.46808,0.06393,0.71028,0.84608,0.84841
26,0.23255,0.4575,0.05842,0.69297,0.84222,0.84841
27,0.23012,0.46352,0.06678,0.69698,0.84287,0.84841
28,0.22581,0.45773,0.06423,0.68675,0.84504,0.84841
29,0.22087,0.44507,0.05411,0.66865,0.84304,0.84841
30,0.21773,0.43652,0.04757,0.65663,0.84574,0.84841
31,0.21446,0.43206,0.04522,0.64878,0.84375,0.84841
32,0.21165,0.43295,0.04958,0.64708,0.84643,0.84841
33,0.21077,0.43212,0.04932,0.64535,0.84566,0.84841
34,0.2086,0.43057,0.04808,0.64158,0.8461,0.84841
35,0.20557,0.42543,0.04408,0.6332,0.84468,0.84841
36,0.20438,0.42283,0.04308,0.62937,0.84593,0.84841
37,0.20372,0.41829,0.04027,0.62402,0.84843,0.84843
38,0.20195,0.41683,0.03831,0.6207,0.84665,0.84843
39,0.19964,0.4134,0.03563,0.61482,0.84573,0.84843
40,0.19903,0.41728,0.03936,0.61828,0.84762,0.84843
41,0.19894,0.41482,0.03724,0.61563,0.84636,0.84843
42,0.19825,0.41402,0.03671,0.61411,0.84278,0.84843
43,0.19801,0.41414,0.03857,0.61408,0.84451,0.84843
44,0.19579,0.40787,0.0313,0.60522,0.84538,0.84843
45,0.19547,0.41098,0.03525,0.60822,0.84659,0.84843
46,0.1934,0.40047,0.02465,0.59511,0.84592,0.84843
47,0.19317,0.4023,0.02748,0.59684,0.84179,0.84843
48,0.19294,0.40344,0.02864,0.59781,0.84647,0.84843
49,0.19115,0.39958,0.02366,0.59192,0.8453,0.84843
50,0.19197,0.3981,0.02321,0.59123,0.8472,0.84843
51,0.19136,0.40225,0.02744,0.59497,0.84674,0.84843
52,0.19023,0.39147,0.0173,0.58256,0.84644,0.84843
53,0.18952,0.39611,0.02102,0.58668,0.8457,0.84843
54,0.18914,0.39204,0.01765,0.58207,0.8451,0.84843
55,0.1885,0.3926,0.01762,0.58198,0.84616,0.84843
56,0.18854,0.38849,0.01443,0.57776,0.84718,0.84843
57,0.18768,0.38951,0.01507,0.57794,0.84703,0.84843
58,0.18808,0.38817,0.01426,0.57696,0.84506,0.84843
59,0.18927,0.39389,0.02021,0.58417,0.84598,0.84843
60,0.18735,0.38843,0.01345,0.57646,0.84746,0.84843
61,0.18843,0.39129,0.01786,0.58061,0.84653,0.84843
62,0.18677,0.3892,0.01516,0.57672,0.8468,0.84843
63,0.18753,0.38855,0.01515,0.57684,0.84682,0.84843
64,0.18732,0.38489,0.01247,0.57283,0.84721,0.84843
65,0.18724,0.38622,0.01253,0.57409,0.84681,0.84843
66,0.18667,0.38498,0.0111,0.57221,0.84711,0.84843
67,0.18729,0.38809,0.01456,0.5761,0.84741,0.84843
68,0.1871,0.38633,0.01302,0.57409,0.84639,0.84843
69,0.1857,0.38329,0.00976,0.56948,0.84698,0.84843
70,0.18646,0.38628,0.01306,0.5734,0.84697,0.84843
71,0.18583,0.38349,0.00949,0.56979,0.84717,0.84843
72,0.18621,0.38417,0.01047,0.5709,0.8472,0.84843
73,0.18584,0.38272,0.0096,0.56904,0.84691,0.84843
74,0.18574,0.38336,0.0103,0.56961,0.84753,0.84843
75,0.18551,0.383,0.00939,0.56898,0.84691,0.84843
76,0.18558,0.38066,0.00784,0.56663,0.84711,0.84843
77,0.18622,0.38453,0.01132,0.57131,0.84578,0.84843
