epoch,bce,kd,kd_ema,total,val_auc,best_val_auc
1,0.45398,1.5872,6.24094,2.35323,0.80306,0.80306
2,0.38121,0.98315,5.55729,1.64222,0.8314,0.8314
3,0.36708,0.85766,4.91863,1.47068,0.83925,0.83925
4,0.35885,0.79529,4.22995,1.36564,0.83936,0.83936
5,0.35114,0.74984,3.71043,1.28651,0.83651,0.83936
6,0.34704,0.73617,3.24228,1.24533,0.8405,0.8405
7,0.34167,0.70208,2.84798,1.18615,0.84405,0.84405
8,0.33856,0.68336,2.52122,1.14798,0.84311,0.84405
9,0.33236,0.65767,2.24202,1.10213,0.84722,0.84722
10,0.32737,0.64671,2.05435,1.0768,0.8447,0.84722
11,0.32279,0.62587,1.82139,1.03973,0.84279,0.84722
12,0.31681,0.61082,1.66319,1.0108,0.84036,0.84722
13,0.31406,0.6089,1.54072,1.0,0.84803,0.84803
14,0.30866,0.58988,1.40103,0.96859,0.83831,0.84803
15,0.30237,0.58296,1.31102,0.95088,0.84142,0.84803
16,0.2966,0.56334,1.21431,0.92066,0.84887,0.84887
17,0.29,0.55355,1.13079,0.90009,0.84092,0.84887
18,0.28433,0.54725,1.06916,0.88504,0.84521,0.84887
19,0.27584,0.52369,1.01076,0.85007,0.84453,0.84887
20,0.26715,0.50456,0.96015,0.81972,0.84685,0.84887
21,0.26214,0.4996,0.92451,0.80796,0.84504,0.84887
22,0.25376,0.48801,0.87709,0.78563,0.84023,0.84887
23,0.25178,0.49088,0.84784,0.78505,0.84386,0.84887
24,0.24462,0.47595,0.81323,0.76123,0.84504,0.84887
25,0.24103,0.46674,0.7839,0.74697,0.84379,0.84887
26,0.23488,0.45456,0.75722,0.7273,0.84388,0.84887
27,0.23113,0.45828,0.74147,0.72648,0.84217,0.84887
28,0.22951,0.46093,0.71906,0.72639,0.84385,0.84887
29,0.22396,0.44225,0.70082,0.70125,0.84524,0.84887
30,0.21988,0.43339,0.67171,0.68686,0.84635,0.84887
31,0.21783,0.43147,0.65068,0.68184,0.84057,0.84887
32,0.21447,0.43047,0.6445,0.67717,0.84643,0.84887
33,0.21472,0.43063,0.61518,0.67611,0.84369,0.84887
34,0.2111,0.4262,0.60594,0.6676,0.8463,0.84887
35,0.20883,0.42355,0.59384,0.66207,0.84405,0.84887
36,0.20812,0.41978,0.58129,0.65696,0.84645,0.84887
37,0.20703,0.41608,0.54751,0.65049,0.8472,0.84887
38,0.20478,0.41258,0.53935,0.64433,0.84537,0.84887
39,0.2026,0.40912,0.52123,0.63778,0.84626,0.84887
40,0.20213,0.41503,0.51252,0.64279,0.84743,0.84887
41,0.20193,0.4117,0.50094,0.63867,0.84632,0.84887
42,0.20106,0.40925,0.48336,0.63448,0.84432,0.84887
43,0.20107,0.41051,0.46852,0.635,0.84669,0.84887
44,0.19858,0.40381,0.45084,0.62493,0.8462,0.84887
45,0.1985,0.40756,0.44357,0.62824,0.84793,0.84887
46,0.19688,0.39659,0.42231,0.61458,0.84526,0.84887
47,0.19693,0.40069,0.40828,0.61804,0.84236,0.84887
48,0.1962,0.40052,0.39911,0.61668,0.84618,0.84887
49,0.1944,0.39692,0.37969,0.6103,0.8462,0.84887
50,0.19493,0.39472,0.3664,0.60798,0.84724,0.84887
51,0.1945,0.39934,0.35603,0.61164,0.8481,0.84887
52,0.1931,0.38853,0.33716,0.5985,0.84714,0.84887
53,0.19273,0.39314,0.32857,0.60231,0.84533,0.84887
54,0.19215,0.38958,0.31344,0.5974,0.8464,0.84887
55,0.19181,0.39002,0.30133,0.59689,0.84744,0.84887
56,0.19167,0.38638,0.29014,0.59256,0.84759,0.84887
57,0.19043,0.38729,0.27924,0.59168,0.84788,0.84887
58,0.19084,0.38597,0.26285,0.58995,0.84499,0.84887
59,0.19186,0.39141,0.26243,0.59639,0.84612,0.84887
60,0.19031,0.38655,0.2448,0.5891,0.84728,0.84887
61,0.19108,0.38943,0.23794,0.59241,0.84718,0.84887
62,0.18947,0.38674,0.22794,0.58761,0.84723,0.84887
63,0.18993,0.38661,0.21357,0.58722,0.84778,0.84887
64,0.18965,0.38169,0.20375,0.58153,0.84807,0.84887
65,0.18935,0.38391,0.19569,0.58304,0.84732,0.84887
66,0.18895,0.38262,0.18595,0.58087,0.84798,0.84887
67,0.18963,0.38587,0.18455,0.58473,0.84749,0.84887
68,0.18939,0.38487,0.16932,0.58272,0.84707,0.84887
69,0.18771,0.38136,0.16054,0.5771,0.84764,0.84887
