class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.88757,0.80989,0.80771,0.63
MI,0.80011,0.44638,0.56777,0.19
STTC,0.87144,0.57901,0.65651,0.18
CD,0.86136,0.63171,0.66593,0.34
HYP,0.73922,0.22727,0.34611,0.09
