class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89093,0.77993,0.80624,0.25
MI,0.80969,0.483,0.58796,0.23
STTC,0.87269,0.64151,0.6639,0.25
CD,0.86071,0.63691,0.67229,0.3
HYP,0.74312,0.26301,0.37658,0.2
