class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.8862,0.80234,0.80593,0.46
MI,0.80267,0.44219,0.58944,0.19
STTC,0.87076,0.60566,0.66667,0.2
CD,0.85796,0.63288,0.65953,0.3
HYP,0.73731,0.23796,0.36207,0.16
