class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89724,0.79401,0.81406,0.25
MI,0.81577,0.55716,0.57515,0.42
STTC,0.8732,0.6514,0.66729,0.36
CD,0.85659,0.63758,0.66526,0.36
HYP,0.76012,0.21839,0.35701,0.23
