class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89486,0.78485,0.81288,0.25
MI,0.8147,0.57064,0.58863,0.43
STTC,0.8734,0.62242,0.66551,0.27
CD,0.85635,0.67035,0.67394,0.48
HYP,0.76006,0.20544,0.36968,0.13
