class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89798,0.79203,0.80445,0.21
MI,0.81923,0.5604,0.5899,0.42
STTC,0.8757,0.62123,0.66553,0.22
CD,0.86485,0.66826,0.69025,0.35
HYP,0.77061,0.27548,0.37868,0.24
