class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89641,0.79149,0.81403,0.34
MI,0.8151,0.55956,0.6035,0.32
STTC,0.87455,0.65259,0.64613,0.22
CD,0.85962,0.65105,0.66808,0.38
HYP,0.76151,0.20732,0.35385,0.2
