class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89614,0.79197,0.81297,0.3
MI,0.81649,0.57609,0.59603,0.34
STTC,0.87457,0.6394,0.67059,0.25
CD,0.85956,0.65018,0.66002,0.42
HYP,0.75994,0.20859,0.3646,0.18
