class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89698,0.79527,0.81467,0.33
MI,0.81636,0.57377,0.59044,0.45
STTC,0.87488,0.62514,0.66842,0.28
CD,0.85974,0.64225,0.6757,0.31
HYP,0.76586,0.20063,0.36149,0.2
