class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89645,0.799,0.81034,0.4
MI,0.81335,0.54975,0.59626,0.33
STTC,0.87106,0.60897,0.65406,0.35
CD,0.86146,0.66979,0.67896,0.4
HYP,0.7429,0.28032,0.35044,0.21
