class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.88773,0.80157,0.80688,0.44
MI,0.80631,0.45387,0.58503,0.18
STTC,0.87115,0.61522,0.66495,0.22
CD,0.85935,0.64269,0.66149,0.37
HYP,0.74046,0.24929,0.375,0.17
