class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89208,0.77234,0.8103,0.19
MI,0.81466,0.54037,0.59295,0.32
STTC,0.87531,0.666,0.66558,0.28
CD,0.861,0.65783,0.67519,0.3
HYP,0.73509,0.24457,0.34639,0.2
