class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.88919,0.81046,0.81081,0.59
MI,0.79699,0.48951,0.57857,0.22
STTC,0.87251,0.58728,0.65431,0.16
CD,0.86364,0.64685,0.67045,0.42
HYP,0.75915,0.25556,0.37047,0.14
