class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.90002,0.77268,0.80676,0.33
MI,0.82609,0.5851,0.60082,0.42
STTC,0.87434,0.63341,0.65644,0.25
CD,0.86096,0.66589,0.67043,0.42
HYP,0.76028,0.27089,0.39587,0.22
