class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.89614,0.78738,0.81218,0.28
MI,0.81459,0.56569,0.59825,0.33
STTC,0.8761,0.6441,0.6661,0.24
CD,0.85873,0.66279,0.6724,0.4
HYP,0.76008,0.21557,0.36224,0.22
