class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.90027,0.77058,0.80929,0.28
MI,0.82622,0.58961,0.60128,0.42
STTC,0.87468,0.63802,0.66113,0.23
CD,0.86114,0.67133,0.68702,0.38
HYP,0.75931,0.27762,0.37589,0.24
